,idno,author-name,author-gender,title,year,supergenre,genre,subgenre,availability,genre-label,narrative-perspective,narrator,protagonist-gender,setting,subgenre,subsubgenre,decade
ne0002,ne0002,Galdos,male,Misericordia,1889,narrative,novel,n.av.,publicdomain,n.av.,heterodiegetic,n.av.,female,big-city,realist,n.av.,1880s
ne0005,ne0005,Galdos,male,Tristana,1892,narrative,novel,n.av.,publicdomain,n.av.,heterodiegetic,n.av.,female,big-city,realist,n.av.,1890s
ne0019,ne0019,BlascoIbanez,male,Bodega,1905,narrative,novel,n.av.,publicdomain,novela,heterodiegetic,n.av.,male,small-city,social,n.av.,1900s
ne0027,ne0027,Galdos,male,Bringas,1884,narrative,novel,n.av.,publicdomain,n.av.,heterodiegetic,n.av.,female,big-city,naturalist,n.av.,1880s
ne0041,ne0041,Miro,male,Hilvan,1903,narrative,novel,n.av.,publicdomain,escenas,heterodiegetic,n.av.,male,rural,naturalist,n.av.,1900s
ne0042,ne0042,Miro,male,Vivir,1904,narrative,novel,n.av.,publicdomain,apuntes,heterodiegetic,n.av.,male,rural,modernist,n.av.,1900s
ne0044,ne0044,Miro,male,Amigo,1908,narrative,novel,n.av.,publicdomain,n.av.,homodiegetic,n.av.,male,rural,modernist,n.av.,1900s
ne0077,ne0077,Bazan,female,Pazos,1886,narrative,novel,naturalist,publicdomain,n.av.,heterodiegetic,n.av.,male,rural,naturalist,n.av.,1880s
ne0082,ne0082,Bazan,female,Piedra,1891,narrative,novel,naturalist,publicdomain,n.av.,heterodiegetic,n.av.,male,small-city,naturalist,n.av.,1890s
ne0085,ne0085,Bazan,female,Sirena,1908,narrative,novel,n.av.,publicdomain,n.av.,autodiegetic,n.av.,male,urban,modernist,n.av.,1900s
ne0135,ne0135,Clarin,male,Hijo,1891,narrative,novel,n.av.,publicdomain,n.av.,heterodiegetic,n.av.,male,small-city,naturalism,n.av.,1890s
ne0136,ne0136,Clarin,male,Regenta,1885,narrative,novel,n.av.,publicdomain,n.av.,heterodiegetic,n.av.,female,small-city,naturalist,n.av.,1880s
ne0144,ne0144,Pereda,male,Pedro,1883,narrative,novel,n.av.,publicdomain,n.av.,autodiegetic,n.av.,male,big-city,historical,n.av.,1880s
ne0145,ne0145,Pereda,male,Penas,1895,narrative,novel,realist,publicdomain,n.av.,autodiegetic,n.av.,male,rural,realist,n.av.,1890s
ne0146,ne0146,Pereda,male,Sotileza,1885,narrative,novel,n.av.,publicdomain,n.av.,heterodiegetic,n.av.,female,small-city,realist,n.av.,1880s
ne0151,ne0151,Valera,male,Genio,1897,narrative,novel,n.av.,publicdomain,n.av.,mixed,n.av.,female,big-city,sentimental,n.av.,1890s
ne0152,ne0152,Valera,male,Juanita,1896,narrative,novel,sentimental,publicdomain,n.av.,homodiegetic,n.av.,female,rural,sentimental,n.av.,1890s
ne0153,ne0153,Valera,male,Morsamor,1899,narrative,novel,n.av.,publicdomain,n.av.,heterodiegetic,n.av.,male,rural,historical,n.av.,1890s
ne0155,ne0155,Picon,male,Dulce,1891,narrative,novel,n.av.,publicdomain,n.av.,heterodiegetic,n.av.,male,urban,erotic,n.av.,1890s
ne0161,ne0161,Picon,male,Lazaro,1882,narrative,novel,n.av.,publicdomain,n.av.,heterodiegetic,n.av.,male,rural,naturalism,n.av.,1880s
ne0162,ne0162,Picon,male,JuanV,1885,narrative,novel,realist,publicdomain,n.av.,heterodiegetic,n.av.,male,big-city,realist,n.av.,1880s
ne0163,ne0163,BlascoIbanez,male,Arroz,1894,narrative,novel,n.av.,publicdomain,n.av.,heterodiegetic,n.av.,female,big-city,social,n.av.,1890s
ne0164,ne0164,BlascoIbanez,male,Barraca,1898,narrative,novel,n.av.,publicdomain,n.av.,heterodiegetic,n.av.,n.av.,rural,social,n.av.,1890s
ne0170,ne0170,Clarin,male,Cuesta,1891,narrative,novel,n.av.,publicdomain,n.av.,autodiegetic,n.av.,male,small-city,sentimental,n.av.,1890s
