,idno,author-name,author-gender,title,year,supergenre,genre,genre-subtitle,availability,subgenre,genre-label,narrative-perspective,narrator,protagonist-gender,setting,subsubgenre,form,author-country,author-continent,subgenre-lithist,keywords-cert,adventure,erotic,fantastic,naturalist,modernist,realist,sentimental,social,spiritual,historical,comedy,philosophical,memoir,moralist,symbolic,political-fiction,bildungsroman,war-novel,autobiographical,size_words,size_chars,size_divs,size_verses,size_sps,size_pds,size_numbers,size_puncts,size_blocks,decade
ne0002,ne0002,Galdos,male,Misericordia,1889,narrative,novel,n.av.,free,realist,n.av.,heterodiegetic,n.av.,female,big-city,n.av.,prose,Spain,Europe,novela social,medium,n.av.,n.av.,n.av.,naturalist,n.av.,realist,n.av.,social,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,83782,476876,41,0,0,1104,32,20127,1537,1880
ne0005,ne0005,Galdos,male,Tristana,1892,narrative,novel,n.av.,free,bildungsroman,n.av.,heterodiegetic,n.av.,female,big-city,n.av.,prose,Spain,Europe,novela naturalista,medium,n.av.,erotic,n.av.,n.av.,n.av.,realist,sentimental,social,spiritual,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,bildungsroman,n.av.,n.av.,52555,300788,29,0,0,325,3,12159,583,1890
ne0019,ne0019,BlascoIbanez,male,Bodega,1905,narrative,novel,Novela,free,realist,novela,heterodiegetic,n.av.,male,small-city,n.av.,prose,Spain,Europe,novela social,medium,n.av.,n.av.,n.av.,naturalist,n.av.,realist,n.av.,social,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,100190,586127,10,8,0,566,6,18191,1945,1900
ne0027,ne0027,Galdos,male,Bringas,1884,narrative,novel,n.av.,free,realist,n.av.,heterodiegetic,n.av.,female,big-city,n.av.,prose,Spain,Europe,novela naturalista,medium,n.av.,n.av.,n.av.,naturalist,n.av.,realist,n.av.,social,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,71557,413869,50,0,21,377,70,15604,895,1880
ne0041,ne0041,Miro,male,Hilvan,1903,narrative,novel,n.av.,free,realist,escenas,heterodiegetic,n.av.,male,rural,n.av.,prose,Spain,Europe,novela naturalista,high,n.av.,n.av.,n.av.,naturalist,n.av.,realist,sentimental,social,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,32088,193592,25,4,0,379,1,7471,1322,1900
ne0042,ne0042,Miro,male,Vivir,1904,narrative,novel,Apuntes de parajes leprosos,free,autobiographical,apuntes,heterodiegetic,n.av.,male,rural,n.av.,prose,Spain,Europe,libro de viaje,medium,n.av.,n.av.,n.av.,naturalist,modernist,realist,n.av.,social,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,symbolic,n.av.,n.av.,n.av.,autobiographical,23138,138445,10,2,0,208,1,5773,1080,1900
ne0044,ne0044,Miro,male,Amigo,1908,narrative,novel,n.av.,free,bildungsroman,novela,homodiegetic,n.av.,male,rural,n.av.,prose,Spain,Europe,n.av.,medium,n.av.,n.av.,n.av.,naturalist,modernist,realist,sentimental,n.av.,n.av.,n.av.,n.av.,n.av.,memoir,n.av.,n.av.,n.av.,bildungsroman,n.av.,n.av.,19866,114286,9,0,0,196,0,5735,545,1900
ne0077,ne0077,Bazan,female,Pazos,1886,narrative,novel,n.av.,free,realist,n.av.,heterodiegetic,n.av.,male,rural,n.av.,prose,Spain,Europe,novela naturalista,high,n.av.,n.av.,n.av.,naturalist,n.av.,realist,sentimental,social,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,83784,491654,32,4,0,714,5,17686,1327,1880
ne0082,ne0082,Bazan,female,Piedra,1891,narrative,novel,n.av.,free,philosophical,n.av.,heterodiegetic,n.av.,male,small-city,novela de tesis,prose,Spain,Europe,n.av.,medium,n.av.,n.av.,n.av.,naturalist,n.av.,realist,n.av.,social,n.av.,n.av.,n.av.,philosophical,n.av.,moralist,n.av.,n.av.,n.av.,n.av.,n.av.,51975,305707,18,4,0,424,1,13115,747,1890
ne0085,ne0085,Bazan,female,Sirena,1908,narrative,novel,n.av.,free,erotic,n.av.,autodiegetic,n.av.,male,big-city,n.av.,prose,Spain,Europe,novela modernista,medium,n.av.,erotic,n.av.,naturalist,modernist,n.av.,sentimental,n.av.,n.av.,n.av.,n.av.,n.av.,memoir,moralist,n.av.,n.av.,n.av.,n.av.,n.av.,40369,235213,18,22,0,303,6,10172,663,1900
