,idno,author-name,author-gender,title,year,supergenre,genre,genre-subtitle,availability,subgenre,genre-label,narrative-perspective,narrator,protagonist-gender,setting,subsubgenre,form,author-country,author-continent,subgenre-lithist,keywords-cert,adventure,erotic,fantastic,naturalist,modernist,realist,sentimental,social,spiritual,historical,comedy,philosophical,memoir,moralist,symbolic,political-fiction,bildungsroman,war-novel,autobiographical,size_words,size_chars,size_divs,size_verses,size_sps,size_pds,size_numbers,size_puncts,size_blocks,decade
ne0135,ne0135,Clarin,male,Hijo,1891,narrative,novel,n.av.,free,realist,n.av.,heterodiegetic,n.av.,male,small-city,n.av.,prose,Spain,Europe,novela naturalista,medium,n.av.,erotic,n.av.,naturalist,n.av.,realist,sentimental,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,89370,514037,16,8,0,466,1,19695,1177,1890
ne0144,ne0144,Pereda,male,Pedro,1883,narrative,novel,n.av.,free,historical,n.av.,autodiegetic,n.av.,male,big-city,n.av.,prose,Spain,Europe,novela histórica,medium,n.av.,n.av.,n.av.,n.av.,n.av.,realist,sentimental,social,n.av.,historical,n.av.,n.av.,memoir,n.av.,n.av.,n.av.,bildungsroman,n.av.,n.av.,110075,628043,35,0,0,708,27,19816,1587,1880
ne0145,ne0145,Pereda,male,Penas,1895,narrative,novel,n.av.,free,realist,n.av.,autodiegetic,n.av.,male,rural,n.av.,prose,Spain,Europe,novela regionalista,medium,n.av.,n.av.,n.av.,n.av.,n.av.,realist,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,memoir,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,134680,750331,34,0,0,620,1,22480,1445,1890
ne0146,ne0146,Pereda,male,Sotileza,1885,narrative,novel,n.av.,free,bildungsroman,n.av.,heterodiegetic,n.av.,female,small-city,n.av.,prose,Spain,Europe,novela costumbrista,medium,n.av.,n.av.,n.av.,naturalist,n.av.,realist,sentimental,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,bildungsroman,n.av.,n.av.,114210,637259,30,0,0,1256,3,25167,2180,1880
ne0151,ne0151,Valera,male,Genio,1897,narrative,novel,n.av.,free,bildungsroman,n.av.,mixed,n.av.,female,big-city,n.av.,prose,Spain,Europe,novela realista,high,n.av.,n.av.,n.av.,naturalist,n.av.,realist,sentimental,n.av.,n.av.,n.av.,n.av.,n.av.,memoir,n.av.,n.av.,n.av.,bildungsroman,n.av.,n.av.,53063,302151,32,7,0,78,14,7149,702,1890
ne0152,ne0152,Valera,male,Juanita,1896,narrative,novel,n.av.,free,realist,n.av.,homodiegetic,n.av.,female,rural,n.av.,prose,Spain,Europe,novela de evocación,low,n.av.,n.av.,n.av.,n.av.,n.av.,realist,sentimental,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,72353,405081,47,40,0,304,101,10646,1406,1890
ne0153,ne0153,Valera,male,Morsamor,1899,narrative,novel,peregrinaciones heroicas y lances de amor y fortuna de Miguel de Zuheros y Tiburcio de Simahonda,free,fantastic,n.av.,heterodiegetic,n.av.,male,rural,n.av.,prose,Spain,Europe,novela de histórica,medium,adventure,erotic,fantastic,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,83523,485032,61,27,0,201,8,10539,1145,1890
ne0155,ne0155,Picon,male,Dulce,1891,narrative,novel,n.av.,free,erotic,n.av.,heterodiegetic,n.av.,male,big-city,n.av.,prose,Spain,Europe,novela erótica,medium,n.av.,erotic,n.av.,n.av.,n.av.,realist,sentimental,social,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,84424,490528,40,3,19,947,9,18590,1935,1890
ne0161,ne0161,Picon,male,Lazaro,1882,narrative,novel,n.av.,free,realist,n.av.,heterodiegetic,n.av.,male,rural,n.av.,prose,Spain,Europe,novela naturalista,low,n.av.,n.av.,n.av.,naturalist,n.av.,realist,n.av.,n.av.,spiritual,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,30663,179811,16,0,0,45,0,4252,305,1880
ne0162,ne0162,Picon,male,JuanV,1885,narrative,novel,n.av.,free,bildungsroman,n.av.,heterodiegetic,n.av.,male,big-city,n.av.,prose,Spain,Europe,novela naturalista,low,n.av.,n.av.,n.av.,n.av.,n.av.,realist,n.av.,n.av.,n.av.,n.av.,comedy,n.av.,n.av.,n.av.,n.av.,n.av.,bildungsroman,n.av.,n.av.,31476,181632,15,13,0,189,21,6142,454,1880
ne0163,ne0163,BlascoIbanez,male,Arroz,1894,narrative,novel,n.av.,free,realist,n.av.,heterodiegetic,n.av.,female,big-city,n.av.,prose,Spain,Europe,novela valenciana,medium,n.av.,n.av.,n.av.,naturalist,n.av.,realist,n.av.,social,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,91009,536896,12,17,0,334,7,15836,1495,1890
ne0164,ne0164,BlascoIbanez,male,Barraca,1898,narrative,novel,n.av.,free,realist,n.av.,heterodiegetic,n.av.,male,rural,n.av.,prose,Spain,Europe,novela valenciana,n.av.,n.av.,n.av.,n.av.,naturalist,n.av.,realist,n.av.,social,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,52803,310388,10,0,0,124,0,9054,1175,1890
ne0170,ne0170,Clarin,male,Cuesta,1891,narrative,novel,n.av.,free,erotic,n.av.,autodiegetic,n.av.,male,small-city,n.av.,prose,Spain,Europe,n.av.,low,n.av.,erotic,n.av.,naturalist,n.av.,realist,sentimental,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,18446,104723,13,9,0,69,28,3647,258,1890
ne0325,ne0325,Clarin,n.av.,Regenta,1885,narrative,novel,n.av.,free,realist,n.av.,heterodiegetic,n.av.,female,small-city,n.av.,prose,Spain,Europe,novela naturalista,medium,n.av.,erotic,n.av.,naturalist,n.av.,realist,sentimental,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,141497,818483,16,49,0,1568,14,30233,3188,1880
