,idno,author-short,title-short,year,genre,subgenre,structure,form,decade
tc0122,tc0122,CorneilleP,Mélite,1642,drama,Comédie,cinq actes,vers,1640s
tc0563,tc0563,CorneilleP,Menteur,1642,drama,Comédie,cinq actes,vers,1640s
tc0723,tc0723,CorneilleP,Suite-menteur,1644,drama,Comédie,cinq actes,vers,1640s
tc0867,tc0867,CorneilleT,Feint-astrologue,1648,drama,Comédie,cinq actes,vers,1640s
tc0840,tc0840,GilletDeLaTessonerie,Déniaisé,1647,drama,Comédie,cinq actes,vers,1640s
tc0810,tc0810,Ouville,Soupçons-apparences,1641,drama,Comédie,cinq actes,vers,1640s
tc0883,tc0883,Ouville,Fausses-vérités,1641,drama,Comédie,cinq actes,vers,1640s
tc0823,tc0823,Ouville,Absent-chez-soi,1642,drama,Comédie,cinq actes,vers,1640s
tc0741,tc0741,Rotrou,Sosies,1646,drama,Comédie,cinq actes,vers,1640s
tc0066,tc0066,Scarron,Jodelet-duelliste,1646,drama,Comédie,cinq actes,vers,1640s
tc0641,tc0641,Scarron,Marquis-ridicule,1646,drama,Comédie,cinq actes,vers,1640s
tc0202,tc0202,Scudery,Fils-supposé,1645,drama,Comédie,cinq actes,vers,1640s
tc0140,tc0140,CorneilleT,Amour-mode,1651,drama,Comédie,cinq actes,vers,1650s
tc0701,tc0701,CorneilleT,Don-Bertran,1651,drama,Comédie,cinq actes,vers,1650s
tc0613,tc0613,CorneilleT,Comtesse-orgueil,1653,drama,Comédie,cinq actes,vers,1650s
tc0828,tc0828,CorneilleT,Charme-voix,1653,drama,Comédie,cinq actes,vers,1650s
tc0091,tc0091,CorneilleT,Illustres-ennemis,1655,drama,Comédie,cinq actes,vers,1650s
tc0289,tc0289,CorneilleT,Geôlier-soi-même,1655,drama,Comédie,cinq actes,vers,1650s
tc0633,tc0633,CorneilleT,Galant-doublé,1659,drama,Comédie,cinq actes,vers,1650s
tc0590,tc0590,GilletDeLaTessonerie,Campagnard,1656,drama,Comédie,cinq actes,vers,1650s
tc0317,tc0317,Molière,Étourdi,1658,drama,Comédie,cinq actes,vers,1650s
tc0535,tc0535,Scarron,Don-Japhet,1652,drama,Comédie,cinq actes,vers,1650s
tc0415,tc0415,Scarron,Gardien,1654,drama,Comédie,cinq actes,vers,1650s
tc0368,tc0368,Scarron,Prince-corsaire,1658,drama,Comédie,cinq actes,vers,1650s
tc0245,tc0245,Scarron,Héritier-ridicule,1659,drama,Comédie,cinq actes,vers,1650s
tc0246,tc0246,TristanLHermite,Parasite,1654,drama,Comédie,cinq actes,vers,1650s
tc0088,tc0088,Molière,Don-Garcie,1661,drama,Comédie,cinq actes,vers,1660s
tc0176,tc0176,Molière,École-femmes,1661,drama,Comédie,cinq actes,vers,1660s
tc0778,tc0778,Molière,Tartuffe,1664,drama,Comédie,cinq actes,vers,1660s
tc0875,tc0875,Molière,Misanthrope,1666,drama,Comédie,cinq actes,vers,1660s
tc0071,tc0071,Molière,Dépit-amoureux,1668,drama,Comédie,cinq actes,vers,1660s
tc0791,tc0791,Quinault,Mere-coquette,1665,drama,Comédie,cinq actes,vers,1660s
tc0315,tc0315,Boyer,Porcie-romaine,1645,drama,Tragédie,cinq actes,vers,1640s
tc0146,tc0146,Boyer,Agamemnon,1647,drama,Tragédie,cinq actes,vers,1640s
tc0505,tc0505,Boyer,Tyridate,1648,drama,Tragédie,cinq actes,vers,1640s
tc0055,tc0055,CorneilleP,Mort-Pompée,1642,drama,Tragédie,cinq actes,vers,1640s
tc0174,tc0174,CorneilleP,Théodore,1645,drama,Tragédie,cinq actes,vers,1640s
tc0033,tc0033,CorneilleP,Héraclius,1646,drama,Tragédie,cinq actes,vers,1640s
tc0041,tc0041,CorneilleT,Engagements-hasard,1649,drama,Tragédie,cinq actes,vers,1640s
tc0422,tc0422,Desfontaines,Perside,1642,drama,Tragédie,cinq actes,vers,1640s
tc0119,tc0119,Desfontaines,Véritable-Sémiramis,1646,drama,Tragédie,cinq actes,vers,1640s
tc0445,tc0445,DuRyer,Thémistocle,1646,drama,Tragédie,cinq actes,vers,1640s
