Partage	Nc	partage
rigoureux	Ag	rigoureux
,	Fw	,
de	S	de
mon	Ds	mon
âme	Nc	âme
enflammée	Ge	enflammer
Qui	Vvc	qui
soupire	Ge	soupirer
et	Cc	et
qui	Pr	qui
craint	Vvc	craindre
d'	S	de
aimer	Vvn	aimer
et	Cc	et
d'	S	de
être	Vun	être
aimée	Ge	aimer
;	Fw	;
Cause	Vvc	causer
de	S	de
mon	Ds	mon
désordre	Nc	désordre
,	Fw	,
effet	Nc	effet
de	S	de
mon	Ds	mon
devoir	Nc	devoir
,	Fw	,
Qui	Vvc	qui
fais	Vvc	faire
vivre	Vvn	vivre
et	Cc	et
mourir	Vvn	mourir
ma	Ds	mon
crainte	Nc	crainte
et	Cc	et
mon	Ds	mon
espoir	Nc	espoir
.	Fs	.
Ha	Rg	ha
laisse	Vvc	laisser
en	S	en
liberté	Nc	liberté
les	Da	le
penchants	Nc	penchant
de	S	de
mon	Ds	mon
âme	Nc	âme
.	Fs	.
Abandonne	Vvc	abandonner
ma	Ds	mon
gloire	Nc	gloire
,	Fw	,
ou	Cc	ou
protège	Vvc	protéger
ma	Ds	mon
flamme	Nc	flamme
,	Fw	,
Ou	Vvc	ou
si	Cs	si
ma	Ds	mon
gloire	Nc	gloire
doit	Vvc	devoir
à	S	à
mes	Ds	mon
yeux	Nc	œil
prévaloir	Vvn	prévaloir
Abandonne	Vvc	abandonner
ma	Ds	mon
flamme	Nc	flamme
,	Fw	,
et	Cc	et
soutiens	Vvc	soutenir
mon	Ds	mon
devoir	Nc	devoir
.	Fs	.
De	S	de
mes	Ds	mon
sens	Nc	sens
agités	Ge	agiter
calme	Vvc	calmer
l'	Da	le
inquiétude	Nc	inquiétude
,	Fw	,
Prends	Vvc	prendre
parti	Nc	parti
,	Fw	,
range	Vvc	ranger
-toi	Vvc	-toi
,	Fw	,
sors	Vvc	sortir
de	S	de
l'	Da	le
incertitude	Nc	incertitude
,	Fw	,
C'	Vvc	c'
est	Vuc	être
trop	Rg	trop
longtemps	Rg	longtemps
tenir	Vvn	tenir
mes	Ds	mon
