Pourquoi	Rt	pourquoi
,	Fw	,
grand	Ag	grand
Caton	Nc	caton
,	Fw	,
à	S	à
mes	Ds	mon
derniers	Ag	dernier
transports	Nc	transport|transports
:	Fw	:
Si	Cs	si
j'	Pp	je
ai	Vuc	avoir
pris	Ge	prendre
pour	S	pour
votre	Ds	votre
ombre	Nc	ombre
,	Fw	,
une	Dn	un
ombre	Nc	ombre
faible	Ag	faible
et	Cc	et
lâche	Ag	lâche
,	Fw	,
Qui	Vvc	qui
pour	S	pour
ternir	Vvn	ternir
mon	Ds	mon
nom	Nc	nom
d'	S	de
une	Dn	un
honteuse	Ag	honteux
tâche	Nc	tâche
,	Fw	,
S'	Vvc	s'
efforce	Ge	efforcer
à	S	à
retarder	Vvn	retarder
les	Da	le
desseins	Nc	dessein
glorieux	Ag	glorieux
,	Fw	,
Que	Vvc	que
pour	S	pour
la	Da	le
liberté	Nc	liberté
m'	Pp	je
inspirèrent	Vvc	inspirer
les	Da	le
Dieux	Nc	dieux
.	Fs	.
Maxime	Nc	maxime
,	Fw	,
à	S	à
moi	Pp	je
.	Fs	.
Seigneur	Nc	seigneur
,	Fw	,
Vois	Vvc	voir
cette	Dd	ce
ombre	Nc	ombre
obstinée	Ge	obstiner
.	Fs	.
Mais	Cc	mais
je	Pp	je
ne	Rp	ne
la	Pp	il
vois	Vvc	voir
plus	Rg	plus
,	Fw	,
et	Cc	et
mon	Ds	mon
âme	Nc	âme
étonnée	Ge	étonner
Sent	Vvc	sentir
un	Dn	un
trouble	Ag	trouble
secret	Nc	secret
,	Fw	,
quand	Cs	quand
cette	Dd	ce
ombre	Nc	ombre
s'	Pp	se
enfuit	Vvc	enfuir
.	Fs	.
Sa	Ds	son
présence	Nc	présence
m'	Pp	je
anime	Vvc	animer
,	Fw	,
et	Cc	et
sa	Ds	son
fuite	Nc	fuite
me	Pp	je
nuit	Vvc	nuire
.	Fs	.
Ombre	Nc	ombre
par	S	par
ma	Ds	mon
confiance	Nc	confiance
heureusement	Rg	heureusement
vaincue	Ge	vaincre
.	Fs	.
Sors	Vvc	sortir
,	Fw	,
hors	S	hors
de	S	de
ma	Ds	mon
pensée	Nc	pensée
,	Fw	,
ainsi	Rg	ainsi
que	Cs	que
de	S	de
ma	Ds	mon
vue	Nc	vue
:	Fw	:
En	S	en
vain	Ag	vain
tu	Pp	tu
fais	Vvc	faire
sur	S	sur
moi	Pp	je
tant	Rg	tant
d'	S	de
efforts	Nc	effort
différents	Ag	différent
Pour	Nc	pour
la	Da	le
honte	Nc	honte
de	S	de
Rome	Nc	rome
,	Fw	,
et	Cc	et
l'	Da	le
honneur	Nc	honneur
des	S+Da	de+le|de+les
tyrans	Nc	tyran
;	Fw	;
Redouble	Vvc	redoubler
tes	Ds	ton
horreurs	Nc	horreur
,	Fw	,
porte	Vvc	porter
-les	Vvn	-les
à	S	à
l'	Da	le
extrême	Ag	extrême
:	Fw	:
Je	Pp	je
suis	Vuc	être
toujours	Rg	toujours
Romain	Ag	romain
,	Fw	,
Brute	Vvc	brute
est	Vuc	être
toujours	Rg	toujours
lui	Pp	il
-même	Vvc	-même
.	Fs	.
Maxime	Nc	maxime
apprends	Vvc	apprendre
enfin	Rg	enfin
le	Da	le
dessein	Nc	dessein
que	Pr	que
je	Pp	je
fais	Vvc	faire
.	Fs	.
Les	Da	le
Dieux	Nc	dieux
sont	Vuc	être
en	S	en
courroux	Nc	courroux
,	Fw	,
s'	Cs	si
ils	Pp	ils
le	Pp	il
furent	Vuc	être
jamais	Rg	jamais
.	Fs	.
Du	S+Da	de+le
moins	Rg	moins
s'	Cs	si
il	Pp	il
en	Pp	en
faut	Vvc	faillir|falloir
croire	Vvn	croire
à	S	à
la	Da	le
voix	Nc	voix
des	S+Da	de+le|de+les
Oracles	Nc	oracle
:	Fw	:
Il	Pp	il
faut	Vvc	faillir|falloir
pourtant	Rg	pourtant
combattre	Vvn	combattre
,	Fw	,
et	Cc	et
vaincre	Vvn	vaincre
ces	Dd	ce
obstacles	Nc	obstacle
;	Fw	;
Ou	Vvc	ou
maîtres	Nc	maître
,	Fw	,
ou	Cc	ou
soumis	Ge	soumettre
à	S	à
nos	Ds	notre
persécuteurs	Nc	persécuteur
,	Fw	,
Ou	Vvc	ou
victimes	Nc	victime
de	S	de
Rome	Nc	rome
,	Fw	,
ou	Cc	ou
ses	Ds	son
libérateurs	Nc	libérateur
,	Fw	,
Vivant	Ga	vivre
dans	S	dans
la	Da	le
franchise	Nc	franchise
,	Fw	,
ou	Cc	ou
mourant	Ga	mourir
avec	S	avec
elle	Pp	il
,	Fw	,
Décidons	Vvc	décidons
promptement	Rg	promptement
cette	Dd	ce
vieille	Ag	vieux
querelle	Nc	querelle
.	Fs	.
Quoi	Pt	quoi
?	Fs	?
Seigneur	Nc	seigneur
maintenant	Rg	maintenant
;	Fw	;
quand	Cs	quand
les	Da	le
Dieux	Nc	dieux
en	S	en
courroux	Nc	courroux
De	Vvc	de
la	Da	le
grandeur	Nc	grandeur
Romaine	Ag	romain
ennemis	Nc	ennemi
ou	Cc	ou
jaloux	Nc	jaloux
,	Fw	,
Vous	Nc	vous
font	Vvc	faire
voir	Vvn	voir
clairement	Rg	clairement
vos	Ds	votre
futures	Ag	futur
disgrâces	Nc	disgrâce
;	Fw	;
Et	Vvc	et
pour	S	pour
vous	Pp	vous
avertir	Vvn	avertir
,	Fw	,
n'	Rp	ne
usent	Vvc	user
que	Rg	que
des	Dn	un
menaces	Nc	menace
!	Fs	!
Écoutez	Vvc	écoutez
leurs	Ds	leur
avis	Nc	avis
,	Fw	,
quoique	Cs	quoique
trop	Rg	trop
rigoureux	Ag	rigoureux
;	Fw	;
Tâchez	Vvc	tâchez
d'	S	de
en	Pp	en
profiter	Vvn	profiter
,	Fw	,
servez	Vvc	servir
-vous	Nc	-vous
d'	S	de
eux	Pp	eux
contre	S	contre
eux	Pp	eux
;	Fw	;
Ne	Vvc	ne
bravez	Vvc	braver
pas	Rg	pas
la	Da	le
foudre	Nc	foudre
,	Fw	,
alors	Rg	alors
que	Cs	que
les	Da	le
Dieux	Nc	dieux
tonnent	Vvc	tonnent
:	Fw	:
Qui	Pr	qui
vous	Pp	vous
peut	Vvc	pouvoir
soutenir	Vvn	soutenir
,	Fw	,
lorsqu'	Cs	lorsque
ils	Pp	ils
vous	Pp	vous
abandonnent	Vvc	abandonner
?	Fs	?
Ah	I	ah
!	Fs	!
Ne	Rp	ne
m'	Pp	je
entretiens	Vvc	entretenir
plus	Rg	plus
d'	S	de
un	Dn	un
si	Rg	si
lâche	Ag	lâche
discours	Nc	discours
;	Fw	;
Que	Vvc	que
la	Da	le
Terre	Nc	terre
,	Fw	,
et	Cc	et
les	Da	le
Dieux	Nc	dieux
me	Pp	je
laissent	Vvc	laisser
sans	S	sans
secours	Nc	secours
Qu'	Vvc	qu'
ils	Pp	ils
n'	Rp	ne
osent	Vvc	oser
me	Pp	je
défendre	Vvn	défendre
,	Fw	,
et	Cc	et
soutenir	Vvn	soutenir
ma	Ds	mon
chute	Nc	chute
;	Fw	;
Le	Vvc	le
seul	Ag	seul
Brute	Vvc	brute
à	S	à
ce	Dd	ce
coup	Nc	coup
sera	Vuc	être
le	Da	le
Dieu	Nc	dieu
de	S	de
Brute	Vvc	brute
;	Fw	;
Et	Vvc	et
sans	S	sans
régler	Vvn	régler
mon	Ds	mon
sort	Nc	sort
sur	S	sur
leurs	Ds	leur
sanglants	Ag	sanglant
avis	Nc	avis
,	Fw	,
Je	Vvc	je
veux	Vvc	vouloir
vaincre	Vvn	vaincre
ou	Cc	ou
mourir	Vvn	mourir
sans	S	sans
les	Pp	ils
avoir	Vun	avoir
suivis	Ge	suivre
.	Fs	.
Quoi	Pt	quoi
?	Fs	?
Sur	S	sur
l'	Da	le
illusion	Nc	illusion
d'	S	de
une	Dn	un
simple	Ag	simple
chimère	Nc	chimère
,	Fw	,
D'	Nc	d'
un	Dn	un
spectre	Nc	spectre
formé	Ge	former
d'	S	de
air	Nc	air
,	Fw	,
d'	S	de
une	Dn	un
ombre	Nc	ombre
imaginaire	Ag	imaginaire
,	Fw	,
Différer	Vvn	différer
un	Dn	un
combat	Nc	combat
,	Fw	,
où	Pr	où
je	Pp	je
suis	Vuc	être
invité	Ge	inviter
!	Fs	!
Me	Pp	je
faire	Vvn	faire
soupçonner	Vvn	soupçonner
de	S	de
quelque	Di	quelque
lâcheté	Nc	lâcheté
!	Fs	!
Porte	Vvc	porter
ailleurs	Rg	ailleurs
ce	Dd	ce
conseil	Nc	conseil
,	Fw	,
montre	Vvc	montrer
moins	Rg	moins
de	S	de
faiblesse	Nc	faiblesse
.	Fs	.
Cassie	Nc	cassie
en	Pp	en
rougirait	Vvc	rougir
.	Fs	.
Mais	Cc	mais
Dieux	Ag	dieux
!	Fs	!
quelle	Dt	quel
tristesse	Nc	tristesse
.	Fs	.
Couvre	Vvc	couvrir
,	Fw	,
et	Cc	et
pâlit	Vvc	pâlir
ce	Dd	ce
front	Nc	front
autrefois	Rg	autrefois
si	Rg	si
serein	Ag	serein
?	Fs	?
Est	Vuc	être
-ce	Vvc	-ce
là	Rg	là
le	Da	le
maintien	Nc	maintien
,	Fw	,
et	Cc	et
le	Da	le
front	Nc	front
d'	S	de
un	Dn	un
Romain	Ag	romain
?	Fs	?
Cassie	Nc	cassie
entre	S	entre
.	Fs	.
Brute	Nc	brute
je	Pp	je
suis	Vuc	être
romain	Ag	romain
,	Fw	,
connaissez	Vvc	connaître
mieux	Rg	mieux
Cassie	Ag	cassie
:	Fw	:
Je	Pp	je
crains	Vvc	craindre
pour	S	pour
notre	Ds	notre
Rome	Nc	rome
,	Fw	,
et	Cc	et
non	Rg	non
pas	Rg	pas
pour	S	pour
ma	Ds	mon
vie	Nc	vie
,	Fw	,
Quoi	Vvc	quoi
serai	Vuc	être
-je	Ge	-je
sans	S	sans
crainte	Nc	crainte
,	Fw	,
et	Cc	et
sans	S	sans
ébranlement	Nc	ébranlement
?	Fs	?
Quand	Cs	quand
je	Pp	je
vois	Vvc	voir
nos	Ds	notre
soldats	Nc	soldat
frémir	Vvn	frémir
d'	S	de
étonnement	Nc	étonnement
.	Fs	.
Ces	Dd	ce
horribles	Ag	horrible
corbeaux	Nc	corbeau
,	Fw	,
cette	Dd	ce
troupe	Nc	troupe
affamée	Ge	affamer
,	Fw	,
Dans	Vvc	dans
ces	Dd	ce
champs	Nc	champ|champs
de	S	de
Pharsale	Nc	pharsale
au	S+Da	à+le
sang	Nc	sang
accoutumée	Ge	accoutumer
,	Fw	,
Renouvelant	Ga	renouveler
l'	Da	le
espoir	Nc	espoir
de	S	de
leurs	Ds	leur
derniers	Ag	dernier
butins	Nc	butin
,	Fw	,
Sont	Vvc	sont
les	Da	le
noirs	Ag	noir
truchements	Nc	truchement
de	S	de
nos	Ds	notre
mauvais	Ag	mauvais
destins	Nc	destin
.	Fs	.
Ces	Dd	ce
menaces	Nc	menace
du	S+Da	de+le
ciel	Nc	ciel
,	Fw	,
et	Cc	et
mille	Nc	mille
autres	Ag	autre
présages	Nc	présage
Ont	Vvc	ont
droit	Rg	droit
d'	S	de
épouvanter	Vvn	épouvanter
les	Da	le
plus	Rg	plus
fermes	Ag	ferme
courages	Nc	courage
.	Fs	.
La	Da	le
rencontre	Nc	rencontre
d'	S	de
un	Dn	un
more	Nc	more
effroyable	Ag	effroyable
à	S	à
nos	Ds	notre
yeux	Nc	œil
,	Fw	,
Une	Vvc	une
sueur	Nc	sueur
de	S	de
sang	Nc	sang
qui	Pr	qui
coule	Vvc	couler
de	S	de
nos	Ds	notre
Dieux	Nc	dieux
.	Fs	.
Mon	Ds	mon
cheval	Nc	cheval
abattu	Ge	abattre
par	S	par
l'	Da	le
éclat	Nc	éclat
de	S	de
la	Da	le
foudre	Nc	foudre
;	Fw	;
Et	Vvc	et
par	S	par
le	Da	le
même	Ag	même
éclat	Nc	éclat
un	Dn	un
autel	Nc	autel
mis	Ge	mettre
en	S	en
poudre	Nc	poudre|poudré
.	Fs	.
Un	Dn	un
prêtre	Nc	prêtre
mort	Ge	mourir
du	S+Da	de+le
coup	Nc	coup
,	Fw	,
un	Dn	un
autre	Pi	autre
de	S	de
frayeur	Nc	frayeur
.	Fs	.
La	Da	le
victime	Nc	victime
échappée	Ge	échapper
au	S+Da	à+le
sacrificateur	Nc	sacrificateur
.	Fs	.
Les	Da	le
malignes	Ag	malin
ardeurs	Nc	ardeur
d'	S	de
une	Dn	un
étrange	Ag	étrange
comète	Nc	comète
,	Fw	,
Qui	Vvc	qui
rend	Vvc	rendre
d'	S	de
étonnement	Nc	étonnement
la	Da	le
nature	Nc	nature
muette	Ag	muet
:	Fw	:
Justifient	Vvc	justifier
mon	Ds	mon
trouble	Nc	trouble
,	Fw	,
et	Cc	et
font	Vvc	faire
voir	Vvn	voir
aujourd'hui	Rg	aujourd'hui
,	Fw	,
Qu'	Vvc	qu'
ici	Rg	ici
ma	Ds	mon
crainte	Nc	crainte
est	Vuc	être
juste	Ag	juste
en	S	en
craignant	Ga	craindre
pour	S	pour
autrui	Pi	autrui
:	Fw	:
Et	Cc	et
j'	Pp	je
estime	Vvc	estimer
envers	S	envers
Rome	Nc	rome
,	Fw	,
insensible	Ag	insensible
ou	Cc	ou
sans	S	sans
zèle	Nc	zèle
,	Fw	,
Qui	Vvc	qui
prévoit	Vvc	prévoir
tant	Rg	tant
de	S	de
maux	Nc	mal
,	Fw	,
et	Cc	et
ne	Rp	ne
craint	Vvc	craindre
rien	Pi	rien
pour	S	pour
elle	Pp	il
.	Fs	.
Dieux	Nc	dieux
!	Fs	!
S'	Pp	se
il	Pp	il
faut	Vvc	faillir|falloir
présumer	Vvn	présumer
que	Cs	que
tout	Pi	tout
est	Vuc	être
arrêté	Ge	arrêter
Par	Nc	par
l'	Da	le
immuable	Ag	immuable
loi	Nc	loi
de	S	de
la	Da	le
fatalité	Nc	fatalité
;	Fw	;
Pourquoi	Vvc	pourquoi
nous	Pp	nous
avertir	Vvn	avertir
des	Dn	un
maux	Nc	mal
inévitables	Ag	inévitable
,	Fw	,
Si	Vvc	si
vos	Ds	votre
propres	Ag	propre
avis	Nc	avis
vous	Pp	vous
font	Vvc	faire
plus	Rg	plus
misérables	Ag	misérable
,	Fw	,
Accablez-nous	Vvc	accablez-nous
de	S	de
maux	Nc	mal
,	Fw	,
sans	S	sans
nous	Pp	nous
les	Pp	ils
annoncer	Vvn	annoncer
.	Fs	.
Présentez	Vvc	présentez
nos	Ds	notre
frayeurs	Nc	frayeur
:	Fw	:
frappez	Vvc	frapper
sans	S	sans
menacer	Vvn	menacer
.	Fs	.
Épargnez-nous	Nc	épargnez-nous
au	S+Da	à+le
moins	Nc	moins
la	Da	le
honte	Nc	honte
de	S	de
nous	Pp	nous
plaindre	Vvn	plaindre
.	Fs	.
Laissez-nous	Vvc	laissez-nous
espérer	Vvn	espérer
,	Fw	,
si	Cs	si
vous	Pp	vous
nous	Pp	nous
faites	Vvc	faire
craindre	Vvn	craindre
.	Fs	.
Ami	Nc	ami
,	Fw	,
ne	Rp	ne
croyons	Vvc	croire
point	Rg	point
à	S	à
ces	Dd	ce
présages	Nc	présage
vains	Ag	vain
,	Fw	,
Tâchons	Vvc	tâchons
par	S	par
notre	Ds	notre
exemple	Nc	exemple
à	S	à
guérir	Vvn	guérir
les	Da	le
romains	Ag	romain
D'	Nc	d'
une	Dn	un
religion	Nc	religion
,	Fw	,
par	S	par
qui	Pr	qui
Rome	Vvc	rome
invincible	Ag	invincible
,	Fw	,
À	Nc	à
des	S+Da	de+le|de+les
lâches	Ag	lâche
frayeurs	Nc	frayeur
se	Pp	il
trouve	Vvc	trouver
si	Rg	si
sensible	Ag	sensible
.	Fs	.
Cachons	Vvc	cacher
à	S	à
l'	Da	le
univers	Nc	univers
un	Dn	un
faible	Ag	faible
si	Rg	si
honteux	Ag	honteux
.	Fs	.
N'	Rp	ne
écoutons	Vvc	écouter
plus	Rg	plus
enfin	Rg	enfin
ces	Dd	ce
Oracles	Nc	oracle
douteux	Ag	douteux
.	Fs	.
Consultons	Vvc	consulter
seulement	Rg	seulement
Rome	Ag	rome
,	Fw	,
et	Cc	et
notre	Ds	notre
courage	Nc	courage
.	Fs	.
Brute	Nc	brute
,	Fw	,
Rome	Vvc	rome
pourtant	Rg	pourtant
craint	Vvc	craindre
l'	Da	le
effet	Nc	effet
du	S+Da	de+le
présage	Nc	présage
,	Fw	,
Vous	Nc	vous
savez	Vvc	savoir
que	Cs	que
le	Da	le
ciel	Nc	ciel
par	S	par
ses	Ds	son
ordres	Nc	ordre
cachés	Ge	cacher
Tient	Vvc	tenir
à	S	à
certains	Di	certain
moments	Nc	moment
nos	Ds	notre
malheurs	Nc	malheur
attachés	Ge	attacher
.	Fs	.
Différons	Vvc	différons
un	Dn	un
combat	Nc	combat
,	Fw	,
que	Cs	que
les	Da	le
Soldats	Nc	soldat
en	S	en
crainte	Nc	crainte
,	Fw	,
Entreprendront	Vvc	entreprendre
sans	S	sans
doute	Nc	doute
avec	S	avec
trop	Rg	trop
de	S	de
contrainte	Nc	contrainte
.	Fs	.
Donnons	Vvc	donner
le	Da	le
temps	Nc	temps
au	S+Da	à+le
ciel	Nc	ciel
de	S	de
travailler	Vvn	travailler
pour	S	pour
nous	Pp	nous
;	Fw	;
Donnons	Vvc	donner
-lui	Nc	-lui
le	Da	le
loisir	Nc	loisir
de	S	de
vaincre	Vvn	vaincre
son	Ds	son
courroux	Nc	courroux
;	Fw	;
Lassons	Vvc	lasser
sa	Ds	son
cruauté	Nc	cruauté
par	S	par
notre	Ds	notre
patience	Nc	patience
;	Fw	;
Que	Vvc	que
sa	Ds	son
longue	Ag	long
fureur	Nc	fureur
cède	Vvc	céder
à	S	à
notre	Ds	notre
constance	Nc	constance
;	Fw	;
Et	Vvc	et
respectant	Ga	respecter
la	Da	le
main	Nc	main
qui	Pr	qui
nous	Pp	nous
a	Vuc	avoir
menacés	Ge	menacer
,	Fw	,
Faisons	Vvc	faire
rougir	Vvn	rougir
les	Da	le
Dieux	Nc	dieux
de	S	de
s'	Pp	se
être	Vun	être
courroucés	Ge	courroucer
.	Fs	.
Qu'	Cs	que
ils	Pp	ils
rougissent	Vvc	rougir
plutôt	Rg	plutôt
de	S	de
voir	Vvn	voir
périr	Vvn	périr
Octave	Vvc	octave
:	Fw	:
De	S	de
triomphant	Ga	triompher
qu'	Cs	que
il	Pp	il
est	Vuc	être
,	Fw	,
devenir	Vvn	devenir
notre	Ds	notre
esclave	Nc	esclave
;	Fw	;
Et	Vvc	et
malgré	S	malgré
les	Da	le
dangers	Nc	danger
,	Fw	,
dont	Pr	dont
ils	Pp	ils
m'	Pp	je
ont	Vuc	avoir
averti	Ge	avertir
,	Fw	,
À	Nc	à
leurs	Ds	leur
yeux	Nc	œil
,	Fw	,
par	S	par
nos	Ds	notre
mains	Nc	main
,	Fw	,
voir	Vvn	voir
tomber	Vvn	tomber
leur	Ds	leur
parti	Nc	parti
.	Fs	.
Car	Cc	car
après	S	après
tout	Pi	tout
,	Fw	,
Cassie	Vvc	cassie
,	Fw	,
en	S	en
l'	Da	le
état	Nc	état
où	Pr	où
nous	Pp	nous
sommes	Vuc	être
;	Fw	;
Ou	Vvc	ou
de	S	de
notre	Ds	notre
destin	Nc	destin
dépend	Vvc	dépendre
celui	Pd	celui
des	S+Da	de+le|de+les
hommes	Nc	homme
;	Fw	;
Pouvons-nous	Vvc	pouvons-nous
différer	Vvn	différer
aux	S+Da	à+les
yeux	Nc	œil
de	S	de
l'	Da	le
univers	Nc	univers
D'	Ag	d'
attaquer	Vvn	attaquer
les	Da	le
tyrans	Nc	tyran
,	Fw	,
qui	Pr	qui
le	Pp	il
tiennent	Vvc	tenir
aux	S+Da	à+les
fers	Nc	fer|fers
?	Fs	?
Un	Dn	un
moment	Nc	moment
de	S	de
délai	Nc	délai
nous	Pp	nous
va	Vvc	aller
couvrir	Vvn	couvrir
de	S	de
honte	Nc	honte
.	Fs	.
L'	Da	le
orgueil	Nc	orgueil
des	S+Da	de+le|de+les
ennemis	Nc	ennemi
nous	Pp	nous
brave	Ag	brave
,	Fw	,
et	Cc	et
nous	Pp	nous
affronte	Vvc	affronter
;	Fw	;
Et	Vvc	et
nous	Pp	nous
serons	Vuc	être
pourtant	Rg	pourtant
,	Fw	,
quand	Cs	quand
il	Pp	il
se	Pp	il
faut	Vvc	faillir|falloir
venger	Vvn	venger
,	Fw	,
Moins	Vvc	moins
ardents	Ag	ardent
,	Fw	,
et	Cc	et
moins	Rg	moins
prompts	Ag	prompt
qu'	Cs	que
eux	Pp	eux
à	S	à
nous	Pp	nous
outrager	Vvn	outrager
.	Fs	.
Que	Cs	que
s'	Pp	se
il	Pp	il
faut	Vvc	faillir|falloir
déférer	Vvn	déférer
à	S	à
la	Da	le
voix	Nc	voix
des	S+Da	de+le|de+les
augures	Nc	augure
;	Fw	;
S'	Vvc	s'
ils	Pp	ils
nous	Pp	nous
ont	Vuc	avoir
annoncé	Ge	annoncer
nos	Ds	notre
tristes	Ag	triste
aventures	Nc	aventure
;	Fw	;
Prévenons	Vvc	prévenons
ces	Dd	ce
malheurs	Nc	malheur
par	S	par
un	Dn	un
illustre	Ag	illustre
effort	Nc	effort
.	Fs	.
Pompée	Vvc	pompée
en	S	en
différant	Ga	différer
eut-il	V	eut-il
un	Dn	un
meilleur	Ag	meilleur
sort	Nc	sort
?	Fs	?
Peut-être	Vvc	peut-être
sa	Ds	son
défaite	Nc	défaite
aussi	Rg	aussi
bien	Rg	bien
que	Cs	que
sa	Ds	son
fuite	Nc	fuite
,	Fw	,
De	Vvc	de
ses	Ds	son
retardements	Nc	retardement
fut	Vuc	être
l'	Da	le
effroyable	Ag	effroyable
suite	Nc	suite
.	Fs	.
Profitons	Vvc	profiter
de	S	de
sa	Ds	son
honte	Nc	honte
,	Fw	,
et	Cc	et
craignons	Vvc	craindre
aujourd'hui	Rg	aujourd'hui
,	Fw	,
Que	Vvc	que
qui	Pr	qui
sait	Vvc	savoir
différer	Vvn	différer
,	Fw	,
peut	Vvc	pouvoir
bien	Rg	bien
fuir	Vvn	fuir
comme	S	comme
lui	Pp	il
.	Fs	.
Conservons	Vvc	conserver
à	S	à
jamais	Rg	jamais
dans	S	dans
ces	Dd	ce
âmes	Nc	âme
romaines	Ag	romain
Nos	Nc	nô
premières	Ag	premier
ardeurs	Nc	ardeur
,	Fw	,
et	Cc	et
nos	Ds	notre
premières	Ag	premier
haines	Nc	haine
;	Fw	;
Que	Vvc	que
nos	Ds	notre
derniers	Ag	dernier
desseins	Nc	dessein
répondent	Vvc	répondre
aux	S+Da	à+les
premiers	Nc	premier
;	Fw	;
Que	Vvc	que
le	Da	le
sort	Nc	sort
des	S+Da	de+le|de+les
Césars	Nc	césars
suivent	Vvc	suivre
ses	Ds	son
héritiers	Nc	héritier
:	Fw	:
Qu'	Cs	que
ils	Pp	ils
tombent	Vvc	tomber
comme	S	comme
lui	Pp	il
d'	S	de
une	Dn	un
chute	Nc	chute
si	Rg	si
prompte	Ag	prompt
;	Fw	;
Qu'	Vvc	qu'
ils	Pp	ils
n'	Rp	ne
aient	Vuc	avoir
pas	Rg	pas
le	Da	le
loisir	Nc	loisir
de	S	de
voir	Vvn	voir
qui	Pr	qui
le	Pp	il
surmonte	Vvc	surmonter
;	Fw	;
Qu'	Vvc	qu'
ils	Pp	ils
sachent	Vvc	savoir
que	Cs	que
le	Da	le
coup	Nc	coup
qui	Pr	qui
punit	Vvc	punir
les	Da	le
tyrans	Nc	tyran
,	Fw	,
Est	Vvc	est
un	Dn	un
coup	Nc	coup
qui	Pr	qui
menace	Vvc	menacer
,	Fw	,
et	Cc	et
frappe	Vvc	frapper
en	S	en
même	Ag	même
temps	Nc	temps
.	Fs	.
Brute	Nc	brute
a	Vuc	avoir
donc	Rg	donc
résolu	Ge	résoudre
de	S	de
forcer	Vvn	forcer
mille	Nc	mille
obstacles	Nc	obstacle
.	Fs	.
De	S	de
vaincre	Vvn	vaincre
les	Da	le
destins	Nc	destin
,	Fw	,
de	S	de
faire	Vvn	faire
des	Dn	un
miracles	Nc	miracle
,	Fw	,
D'	Vvc	d'
exposer	Vvn	exposer
tout	Rg	tout
un	Dn	un
Monde	Nc	monde
à	S	à
la	Da	le
haine	Nc	haine
des	S+Da	de+le|de+les
Cieux	Nc	ciel|cieux
:	Fw	:
Brute	Nc	brute
l'	Pp	il
a	Vuc	avoir
résolu	Ge	résoudre
contre	S	contre
l'	Da	le
avis	Nc	avis
des	S+Da	de+le|de+les
Dieux	Nc	dieux
.	Fs	.
Mais	Cc	mais
