Pourquoi	Rt	pourquoi
mal	Rg	mal
à	S	à
propos	Nc	propos
,	Fw	,
image	Nc	image
triste	Ag	triste
,	Fw	,
et	Cc	et
noire	Ag	noir
,	Fw	,
Troubles	Ag	trouble
-tu	Nc	-tu
sans	S	sans
respect	Nc	respect
mon	Ds	mon
repos	Nc	repos
,	Fw	,
et	Cc	et
ma	Ds	mon
gloire	Nc	gloire
?	Fs	?
César	Nc	césar
est	Vuc	être
-ce	Vvc	-ce
ton	Ds	ton
ombre	Nc	ombre
?	Fs	?
et	Cc	et
viens	Vvc	venir
-tu	Vvn	-tu
dans	S	dans
ces	Dd	ce
lieux	Nc	lieu
Exposer	Vvn	exposer
ma	Ds	mon
victoire	Nc	victoire
,	Fw	,
et	Cc	et
ta	Ds	ton
mort	Nc	mort
à	S	à
mes	Ds	mon
yeux	Nc	œil
?	Fs	?
Viens	Vvc	venir
-tu	Vvn	-tu
pour	S	pour
redoubler	Vvn	redoubler
l'	Da	le
ardeur	Nc	ardeur
qui	Pr	qui
me	Pp	je
consomme	Vvc	consommer
,	Fw	,
M'	Vvc	m'
apprendre	Vvn	apprendre
par	S	par
ta	Ds	ton
mort	Nc	mort
comme	Cs	comme
on	Pp	on
affranchit	Vvc	affranchir
Rome	Vvc	rome
?	Fs	?
Je	Pp	je
saurai	Vvc	savoir
m'	Pp	je
acquérir	Vvn	acquérir
,	Fw	,
sans	S	sans
écouter	Vvn	écouter
ta	Ds	ton
voix	Nc	voix
,	Fw	,
L'	Vvc	l'
honneur	Nc	honneur
de	S	de
l'	Pp	il
affranchir	Vvn	affranchir
une	Dn	un
seconde	Nc	second|seconde
fois	Nc	fois
.	Fs	.
Mais	Cc	mais
peut-être	Rg	peut-être
est	Vuc	être
-ce	Ge	-ce
vous	Pp	vous
Fantôme	Vvc	fantôme
vénérable	Ag	vénérable
Du	Nc	dû
grand	Ag	grand
et	Cc	et
fier	Ag	fier
Caton	Nc	caton
,	Fw	,
simulacre	Nc	simulacre
adorable	Ag	adorable
.	Fs	.
Que	Cs	que
me	Pp	je
demandez	Vvc	demander
-vous	Nc	-vous
par	S	par
ces	Dd	ce
tristes	Ag	triste
regards	Nc	regard
?	Fs	?
Belle	Ag	beau
ombre	Nc	ombre
avez	Vuc	avoir
-vous	Ge	-vous
soif	Nc	soif
du	S+Da	de+le
sang	Nc	sang
de	S	de
deux	Nc	deux
Césars	Ag	césars
?	Fs	?
Ma	Ds	mon
main	Nc	main
à	S	à
l'	Da	le
un	Pi	un
et	Cc	et
l'	Da	le
autre	Pi	autre
également	Rg	également
funeste	Ag	funeste
,	Fw	,
Va	Vvc	aller
répandre	Vvn	répandre
bientôt	Rg	bientôt
tout	Di	tout
le	Da	le
sang	Nc	sang
qui	Pr	qui
leur	Ds	leur
reste	Nc	reste
.	Fs	.
J'	Pp	je
y	Pp	y
cours	Vvc	courir
;	Fw	;
mais	Cc	mais
ce	Dd	ce
Démon	Nc	démon
s'	Pp	se
oppose	Vvc	opposer
à	S	à
mes	Ds	mon
efforts	Nc	effort
.	Fs	.
Pardonnez	Vvc	pardonner
