,idno,author-name,author-gender,title,year,supergenre,genre,subgenre,availability,textsize-words,decade
nd0003,nd0003,Aurevilly,male,Rideau,1874,narrative,nouvelle,fantastique,publicdomain,20347,1870s
nd0004,nd0004,Maupassant,male,Horla,1886,narrative,nouvelle,fantastique,publicdomain,44433,1880s
nd0011,nd0011,Gautier,male,MorteAmoureuse,1836,narrative,nouvelle,fantastique,publicdomain,12663,1830s
nd0020,nd0020,Gautier,male,Marcella,1852,narrative,nouvelle,fantastique,publicdomain,11468,1850s
nd0027,nd0027,Balzac,male,Cornélius,1831,narrative,nouvelle,fantastique,publicdomain,22745,1830s
nd0028,nd0028,Dumas,male,HistoireMort,1844,narrative,nouvelle,fantastique,publicdomain,7670,1840s
nd0032,nd0032,Dumas,male,TestamentChauvelin,1849,narrative,nouvelle,fantastique,publicdomain,37008,1840s
nd0033,nd0033,Lermina,male,DeuxFoisMorte,1895,narrative,nouvelle,fantastique,publicdomain,17504,1890s
nd0034,nd0034,Lermina,male,ÉlixirVie,1890,narrative,nouvelle,fantastique,publicdomain,13237,1890s
nd0035,nd0035,Lermina,male,Fous,1885,narrative,nouvelle,fantastique,publicdomain,18799,1880s
nd0037,nd0037,Lermina,male,Clou,1895,narrative,nouvelle,fantastique,publicdomain,11587,1890s
nd0040,nd0040,Aurevilly,male,DonJuan,1867,narrative,nouvelle,fantastique,publicdomain,8011,1860s
nd0041,nd0041,Aurevilly,male,Bonheur,1871,narrative,nouvelle,fantastique,publicdomain,20209,1870s
nd0046,nd0046,Balzac,male,Gambara,1837,narrative,nouvelle,étude philosophique,publicdomain,23329,1830s
nd0048,nd0048,Balzac,male,ChatPelote,1830,narrative,nouvelle,étude de mœurs,publicdomain,21938,1830s
nd0052,nd0052,Balzac,male,Marcas,1840,narrative,nouvelle,réaliste,publicdomain,10171,1840s
nd0058,nd0058,Daudet,male,MulePape,1868,narrative,nouvelle,jeunesse,publicdomain,3672,1860s
nd0101,nd0101,Sand,female,Titan,1873,narrative,nouvelle,fantastique,publicdomain,7175,1870s
nd0106,nd0106,Féval,male,Medecin,1860,narrative,nouvelle,historique,publicdomain,13873,1860s
nd0109,nd0109,Féval,male,FemmeBlanche,1844,narrative,nouvelle,historique,publicdomain,23161,1840s
nd0111,nd0111,Flaubert,male,Hérodias,1877,narrative,nouvelle,historique,publicdomain,10216,1870s
nd0121,nd0121,Maupassant,male,Dimanches,1880,narrative,nouvelle,réaliste,publicdomain,18847,1880s
nd0122,nd0122,Maupassant,male,BouleSuif,1880,narrative,nouvelle,naturaliste,publicdomain,14305,1880s
nd0125,nd0125,Gautier,male,Spirite,1865,narrative,nouvelle,fantastique,publicdomain,53547,1860s
nd0126,nd0126,Schwob,male,RoiMasque,1892,narrative,nouvelle,fantastique,publicdomain,4564,1890s
nd0148,nd0148,Verne,male,MaîtreZacharius,1854,narrative,nouvelle,fantastique,publicdomain,12920,1850s
nd0149,nd0149,Verne,male,HivernageGlaces,1855,narrative,nouvelle,fantastique,publicdomain,22247,1850s
nd0152,nd0152,Verne,male,JeanMorénas,1851,narrative,nouvelle,policier,publicdomain,11919,1850s
