,nh0002,nh0022,nh0011,nh0053,nh0055,nh0186,nh0003,nh0031,nh0004,nh0034,nh0029,nh0185,nh0130,nh0129,nh0131,nh0033,nh0021,nh0054,nh0082,nh0111,nh0012,nh0187,nh0123,nh0081,sum
chacho,1,0,0,0,524,0,0,0,0,0,0,0,0,0,0,0,0,1432,0,0,0,0,0,0,1957
moreira,5,0,0,1066,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1075
quiroga,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,890,0,0,0,0,0,7,899
vd,0,0,67,0,0,0,0,20,0,161,199,6,0,0,0,0,0,0,0,0,2,0,0,0,455
sandes,0,0,0,0,412,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,414
regis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,405,405
benavídez,0,0,0,0,140,0,2,0,0,0,0,0,0,0,0,0,0,262,0,0,0,0,0,0,404
manuel,3,4,0,1,0,29,0,110,0,0,87,0,0,41,28,1,1,0,0,13,0,0,0,76,394
juan,14,1,0,135,30,0,0,12,9,1,5,0,1,0,0,0,0,74,0,0,4,1,8,79,374
genaro,0,0,0,0,0,0,0,3,0,0,232,0,0,0,0,0,0,0,0,0,137,0,0,0,372
miguel,4,176,0,0,0,0,0,0,1,0,1,0,0,0,0,0,72,0,0,0,0,87,0,0,341
peñaloza,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,214,0,0,0,0,0,0,282
d,0,0,9,0,0,1,0,108,0,0,109,0,27,0,0,0,4,0,0,0,0,0,0,0,258
maría,106,17,2,1,18,1,0,5,3,1,24,0,0,23,8,15,3,3,0,4,1,0,4,10,249
carlos,1,1,0,2,0,1,0,0,2,0,147,0,0,20,3,15,0,0,0,13,10,0,0,23,238
aldao,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,221,0,1,0,0,0,8,233
paloche,0,0,0,0,0,0,0,77,0,0,130,0,0,0,0,2,0,0,0,0,0,0,0,0,209
pablo,1,5,0,0,0,0,0,0,3,142,1,0,2,1,0,0,0,0,0,41,0,0,0,1,197
andrés,0,0,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197
méndez,2,2,0,0,1,0,0,1,0,0,167,0,0,0,0,21,0,0,0,0,0,0,0,0,194
julia,0,82,0,0,0,2,0,0,0,0,0,0,106,0,0,0,0,0,0,0,0,0,0,0,190
vázquez,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,1,165
saldaña,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,0,0,0,0,0,0,0,0,0,163
anita,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,151,0,0,0,0,1,0,154
pantuci,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,150
mendoza,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,128,2,0,0,0,0,7,145
bohórquez,0,0,0,0,0,0,0,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144
