,nh0002,nh0022,nh0011,nh0053,nh0055,nh0186,nh0003,nh0031,nh0004,nh0034,nh0029,nh0185,nh0130,nh0129,nh0131,nh0033,nh0021,nh0054,nh0082,nh0111,nh0012,nh0187,nh0123,nh0081,sum
gumesindo,0,0,0,0,0,0,0,0,0,0,0,0,0,141,0,0,0,0,0,0,0,0,0,0,141
tomochic,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140
tucumán,1,0,0,0,40,4,2,0,10,0,1,0,0,0,0,0,0,76,0,0,1,0,0,4,139
ángela,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,0,0,0,0,0,0,135
seele,0,0,0,0,0,0,0,0,0,0,0,134,0,0,0,0,0,0,0,0,0,0,0,0,134
válcena,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,123
sunchos,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118
julián,0,0,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114
huaja,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,111,0,0,0,0,0,0,112
gutiérrez,1,0,0,3,3,0,0,0,0,0,0,0,4,77,5,0,0,15,0,0,0,0,1,0,109
laura,0,0,0,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,94,0,0,0,2,7,108
goga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,108
silvio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,104
bárcena,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0,0,103
madrid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,1,0,0,0,3,102
elbio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,102
lupe,0,0,0,0,0,0,0,0,0,0,0,0,30,17,54,0,0,0,0,0,0,0,0,0,101
pedro,35,10,0,6,0,0,0,0,16,0,8,0,0,0,1,11,0,0,0,0,1,0,3,10,101
méxico,0,20,0,0,0,0,0,0,0,0,0,0,5,32,16,0,16,0,0,0,0,0,7,0,96
edwin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,95
manuelito,0,0,0,0,0,0,0,0,0,0,0,0,0,75,18,0,0,0,0,0,0,0,0,0,93
valentín,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,93
nic,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,93
tatita,74,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,91
lópez,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,16,0,0,0,0,0,71,91
catamarca,0,0,0,0,10,0,0,0,9,0,0,0,0,0,0,0,0,70,0,0,0,0,0,1,90
pérez,0,5,0,0,0,0,0,1,0,0,0,0,0,0,4,0,1,1,74,0,0,0,0,3,89
eulalia,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89
marte,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,2,88
mauricio,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,87
luis,1,1,1,0,15,0,0,0,34,2,0,0,0,14,1,1,0,10,0,1,0,0,5,1,87
nac,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,86
v,1,0,0,0,0,0,0,0,0,0,1,0,53,0,0,0,0,9,0,5,0,0,0,14,83
rivero,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,83
loulou,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80
vicenta,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,79
gómez,33,1,0,0,19,0,0,0,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74
francisco,1,5,1,45,0,0,0,0,3,0,0,0,0,1,0,0,0,2,0,8,0,0,0,6,72
germán,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,72
josé,2,22,0,1,5,0,0,0,0,0,0,0,0,21,0,1,1,1,0,0,1,0,6,6,67
europa,12,1,2,0,0,7,0,11,1,2,0,2,0,1,2,8,1,0,0,0,3,2,0,12,67
venturita,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,66
nelly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,64
bernardo,0,42,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,64
jesús,1,2,0,0,0,0,0,7,1,0,6,0,0,4,3,32,0,0,0,3,0,0,0,1,60
rodríguez,1,0,0,1,38,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,18,60
desiderio,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59
castorena,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59
antonio,4,1,0,0,0,43,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,6,58
enriqueta,0,0,0,0,0,0,0,0,0,0,0,0,1,0,56,0,0,0,0,0,0,0,0,0,57
higinio,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56
villacorta,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55
rozsahegy,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54
adolfo,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,53
milicos,0,0,0,3,14,0,1,1,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,53
mauricia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,52
cuerudo,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51
américa,2,0,2,0,0,2,3,20,3,2,3,0,0,0,1,2,4,2,0,0,1,3,0,1,51
gabriel,0,0,0,3,0,0,0,0,1,0,0,0,0,0,26,0,0,0,0,1,0,0,0,20,51
leguizamon,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
anselmo,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,22,0,0,0,0,50
estanislao,18,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,28,49
valverde,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,13,0,0,0,0,0,0,0,0,48
fernando,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,48
s,1,0,1,10,0,1,1,0,0,0,0,5,0,0,0,0,0,1,0,2,0,1,0,24,47
giménez,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46
sophopolis,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,46
andrea,1,0,21,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46
champagne,0,0,2,0,0,0,0,1,0,1,0,0,2,28,5,4,0,0,0,0,3,0,0,0,46
urquiza,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,45
tomoches,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,44
leonor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,43
montevideo,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,32,43
á,0,0,0,0,0,1,11,0,0,0,0,3,7,1,17,0,2,0,0,0,0,0,0,1,43
ricardo,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,37,0,0,0,0,0,0,0,0,43
gertrudis,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41
acha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,41
ferragut,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40
manuelita,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,39
españa,0,0,0,0,0,0,1,8,5,0,0,0,0,0,1,0,0,0,0,19,1,4,0,0,39
baltar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,38
jiménez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,37
alicia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,37
tandil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,37
herzen,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36
lavalle,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,1,0,0,23,36
yanzón,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,36
londres,0,1,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,35
medrano,0,30,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,35
mamita,33,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,35
theopolis,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,35
nomás,0,0,0,1,4,0,4,0,0,0,0,0,0,0,0,0,0,17,0,0,2,0,6,0,34
theopolita,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,34
amenábar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,33
vds,0,0,7,0,0,0,0,0,0,18,4,0,4,0,0,0,0,0,0,0,0,0,0,0,33
ruarte,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33
ex,8,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,12,0,0,0,0,0,8,2,33
catalina,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,1,0,0,0,0,0,0,0,0,33
ño,0,0,10,6,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33
b,0,0,0,0,0,22,0,0,0,0,0,0,1,0,0,0,8,0,0,0,0,0,0,1,32
lucas,24,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,1,1,32
inés,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,30,0,0,0,0,32
nicanor,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
chávez,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
francia,0,0,0,0,0,0,0,10,0,3,0,0,0,1,0,0,0,0,0,13,0,1,0,3,31
habíase,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,9,0,1,12,31
claudio,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
varela,1,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,31
brizuela,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,31
rivas,29,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
alberto,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,25,30
fierro,0,0,3,5,1,0,2,2,0,6,1,1,0,2,1,1,0,0,0,0,5,0,0,0,30
isabel,4,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,2,0,0,0,0,30
chacra,23,0,0,0,0,0,2,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,30
inglaterra,1,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,3,0,11,0,0,29
usté,0,1,1,0,0,0,15,0,0,0,0,0,2,0,8,0,0,0,0,0,0,0,0,2,29
eusebio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,28,29
corvalán,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,29
rangel,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
nicolás,1,1,0,5,0,0,0,0,1,0,0,0,0,3,0,0,0,2,0,1,0,15,0,0,29
pobrecita,0,5,4,0,1,0,3,0,0,1,2,0,0,0,3,0,0,2,1,0,2,0,3,1,28
segovia,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
riglet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,28
hijito,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,1,0,2,28
sardetti,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
pacheco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,3,27
zonzo,0,0,0,1,0,0,0,0,0,8,0,0,0,0,0,0,0,8,0,0,10,0,0,0,27
hum,3,0,1,0,0,0,0,0,1,4,1,0,0,5,0,1,0,0,0,0,4,0,0,7,27
serlo,5,1,1,0,1,0,0,1,1,0,0,1,0,1,0,2,3,5,2,0,1,1,0,1,27
lola,0,0,0,0,0,0,0,0,0,0,0,0,4,0,17,0,4,0,0,0,0,0,1,0,26
enríquez,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
corina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,26
díjole,0,2,1,0,0,0,0,0,2,0,0,0,0,0,1,0,3,0,0,2,1,0,0,14,26
diego,1,0,0,1,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,26
hijita,0,0,15,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,5,0,0,1,25
otilia,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,25
pa,0,1,6,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,4,6,25
donata,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
brianda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,25
ignacio,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,17,2,0,0,0,3,24
casita,2,0,0,2,1,0,0,0,0,1,1,0,0,1,0,1,1,5,2,0,3,0,0,4,24
villalta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,24
díaz,0,12,0,3,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,24
torreblanca,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
contreras,12,0,2,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
pueblito,0,0,4,5,1,0,0,0,0,0,2,0,0,0,0,0,0,5,0,0,4,2,0,0,23
calchaquíes,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
niñita,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
amorini,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
itualde,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,22
roberto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,22
alfredo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1,0,22
molina,0,20,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
evaristo,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,22
petrona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,22
perú,0,0,0,0,0,4,0,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
matilde,1,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,21
sr,0,0,1,0,0,1,0,0,0,0,2,14,0,0,0,0,0,0,0,0,0,3,0,0,21
guy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,21
curacas,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
n,1,0,0,0,0,13,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,21
felipe,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,12,0,0,0,5,20
cipriano,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
caballadas,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,20
irma,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
bartolita,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,20
chachistas,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,20
josecito,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20
catamarqueño,0,0,0,0,15,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,20
tapatío,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,20
alsina,0,0,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
luisa,0,0,0,0,0,0,0,0,0,0,1,0,0,16,0,0,0,1,0,1,0,0,0,0,19
tomochitecos,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
phantomton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,19
gondra,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,19
criaturitas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,18
solari,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
gorrini,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
soldaderas,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,18
mialma,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17,0,0,0,0,0,0,0,0,0,18
sud,1,0,3,1,0,0,0,3,0,0,2,1,0,0,0,0,0,0,0,0,4,3,0,0,18
guadalupe,0,3,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,0,0,0,0,0,5,0,18
púsose,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,8,0,0,6,18
hacksf,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,18
gumesinda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,18
coliqueo,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
cabora,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
diríase,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,15,18
ramírez,1,8,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,17
berton,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
jovencito,5,0,0,0,0,1,0,0,0,0,0,0,3,4,4,0,0,0,0,0,0,0,0,0,17
orlandi,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
alcorta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16
juancito,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
peterson,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
néstor,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
errécar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,16
platita,7,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,16
tristísima,0,5,0,4,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,1,0,15
corolas,0,0,0,0,0,0,0,0,0,0,12,1,0,0,0,1,0,0,0,0,0,0,0,1,15
chiripá,2,0,2,5,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15
picaso,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
suárez,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,15
varolio,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
publio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,15
habíale,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,2,5,0,0,3,15
josefa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,15
é,1,0,2,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,1,3,0,2,15
ayes,1,1,0,0,0,0,0,7,0,0,1,1,0,0,0,2,0,0,0,0,1,0,0,1,15
calchaquí,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
paraná,1,0,0,0,4,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,6,15
pobrecito,0,1,4,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,2,0,1,1,14
italia,0,0,0,0,0,0,2,1,0,1,1,0,0,0,0,3,0,0,0,1,3,1,0,1,14
sophopolita,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,14
suavísima,0,0,0,2,0,0,0,1,0,0,4,0,0,0,0,6,0,1,0,0,0,0,0,0,14
trini,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,14
reporter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,14
serle,2,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,14
gonzález,1,0,0,11,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14
theopolitas,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,14
rosalitos,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,14
parejero,0,0,0,7,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14
tomoche,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
valbuena,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,13
cuartelito,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
famatina,0,0,0,0,0,0,0,0,7,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,13
