,idno,author-name,author-gender,title,year,supergenre,genre,genre-subtitle,availability,subgenre,narrative-perspective,form,decade,words
rp0001,rp0001,Macedo,male,ChristaoNovo,1876,narrative,novel,Romance Histórico do Século XVI,free,historical,heterodiegetic,prose,1870,24383
rp0002,rp0002,Braga,male,Viriato,1904,narrative,novel,Narrativa Epo-histórica,free,historical,heterodiegetic,prose,1900,61026
rp0003,rp0003,Pimentel,male,AnnelMysterioso,1873,narrative,novel,Scenas da Guerra Peninsular,free,historical,heterodiegetic,prose,1870,56826
rp0004,rp0004,Queiros,male,Maias,1888,narrative,novel,Episodios da Vida Romantica,free,realist,heterodiegetic,prose,1880,221241
rp0005,rp0005,Campos,male,FilhaCabinda,1873,narrative,novel,Romance original,free,social,heterodiegetic,prose,1870,28352
rp0006,rp0006,Dinis,male,FamiliaIngleza,1868,narrative,novel,Scenas da Vida do Porto,free,sentimental,heterodiegetic,prose,1860,124634
rp0007,rp0007,Herculano,male,EuricoPresbitero,1844,narrative,novel,n.av.,free,historical,heterodiegetic,prose,1840,55119
rp0008,rp0008,Brandao,male,PeroCovilhan,1897,narrative,novel,Episódio Romântico do Século XV,free,historical,heterodiegetic,prose,1890,50425
rp0009,rp0009,CasteloBranco,male,AmorPerdicao,1862,narrative,novel,n.av.,free,sentimental,heterodiegetic,prose,1860,48491
rp0010,rp0010,CasteloBranco,male,BrilhantesBrasileiro,1869,narrative,novel,n.av.,free,sentimental,heterodiegetic,prose,1860,48948
rp0011,rp0011,Herculano,male,OBobo,1843,narrative,novel,n.av.,free,historical,heterodiegetic,prose,1840,66174
rp0012,rp0012,Mascarenhas,male,MariaFonte,1873,narrative,novel,n.av.,free,historical,heterodiegetic,prose,1870,58741
rp0013,rp0013,CasteloBranco,male,OJudeu,1866,narrative,novel,n.av.,free,historical,heterodigetic,prose,1860,94134
rp0014,rp0014,CamposJunior,male,AlaNamorados,1905,narrative,novel,n.av.,free,historical,heterodiegetic,prose,1900,234396
rp0015,rp0015,CasteloBranco,male,CaveiraMartir,1876,narrative,novel,n.av.,free,historical,heterodiegetic,prose,1870,94858
rp0016,rp0016,CasteloBranco,male,BrasileiraPrazins,1882,narrative,novel,n.av.,free,realist,heterodiegetic,prose,1880,57711
rp0017,rp0017,Garrett,male,ViagensTerraI,1846,narrative,novel,(Primeiro das Viagens),free,travel,autodiegetic,prose,1840,38472
rp0018,rp0018,Queiros,male,CidadeSerras,1901,narrative,novel,n.av.,free,social,homodiegetic,prose,1900,68470
rp0019,rp0019,Dinis,male,PupilasSenhorReitor,1866,narrative,novel,n.av.,free,sentimental,heterodiegetic,prose,1860,95531
rp0020,rp0020,Botelho,male,Amanha,1901,narrative,novel,n.av.,free,social,heterodiegetic,prose,1900,135037
rp0021,rp0021,Brandao,male,OsPobres,1906,narrative,novel,n.av.,free,expressionistic,autodiegetic,prose,1900,40793
rp0022,rp0022,Botelho,male,BaraoLavos,1891,narrative,novel,n.av.,free,social,heterodiegetic,prose,1890,106139
rp0023,rp0023,Brandao,male,MortePalhaco,1896,narrative,novel,n.av.,free,sentimental,mixed,prose,1890,29604
rp0024,rp0024,Rodrigues,male,RosaAdro,1870,narrative,novel,n.av.,free,sentimental,heterodiegetic,prose,1870,59210
rp0025,rp0025,Queiros+Ortigao,male,MisterioSintra,1870,narrative,novel,n.av.,free,crime,autodiegetic,prose,1870,66643
rp0026,rp0026,Brandao,male,Humus,1917,narrative,novel,n.av.,free,expressionistic,autodiegetic,prose,1910,65680
rp0027,rp0027,CasteloBranco,male,MisteriosLisboa,1853,narrative,novel,n.av.,free,autobiographical,autodiegetic,prose,1850,196626
rp0028,rp0028,Queiros,male,PrimoBasilio,1878,narrative,novel,n.av.,free,sentimental,heterodiegetic,prose,1870,121736
rp0029,rp0029,CasteloBranco,male,QuedaAnjo,1866,narrative,novel,n.av.,free,social,heterodiegetic,prose,1860,50347
rp0030,rp0030,Queiros,male,CasaRamires,1900,narrative,novel,n.av.,free,political,heterodiegetic,prose,1900,106512
