Quoi	Pt	quoi
,	Fw	,
vous	Pp	vous
ne	Rp	ne
sauriez	Vvc	savoir
vaincre	Vvn	vaincre
une	Dn	un
frayeur	Nc	frayeur
si	Rg	si
vaine	Ag	vain
?	Fs	?
Un	Dn	un
songe	Nc	songe
,	Fw	,
une	Dn	un
vapeur	Nc	vapeur
,	Fw	,
vous	Pp	vous
causent	Vvc	causer
de	S	de
la	Da	le
peine	Nc	peine
!	Fs	!
À	Vvc	à
vous	Pp	vous
,	Fw	,
sur	S	sur
qui	Pr	qui
le	Da	le
ciel	Nc	ciel
déployant	Ga	déployer
ses	Ds	son
Trésors	Nc	trésors
,	Fw	,
Mit	Vvc	mettre
un	Dn	un
si	Rg	si
digne	Ag	digne
esprit	Nc	esprit
,	Fw	,
dans	S	dans
un	Dn	un
si	Rg	si
digne	Ag	digne
corps	Nc	corps
!	Fs	!
Le	Da	le
premier	Nc	premier
des	S+Da	de+le|de+les
césars	Nc	césar
apprit	Vvc	apprendre
bien	Rg	bien
que	Cs	que
les	Da	le
songes	Nc	songe
Ne	Ag	ne
sont	Vuc	être
pas	Rg	pas
toujours	Rg	toujours
faux	Ag	faux
,	Fw	,
et	Cc	et
toujours	Rg	toujours
des	Dn	un
mensonges	Nc	mensonge
;	Fw	;
Et	Vvc	et
la	Da	le
force	Nc	force|forcé
d'	S	de
esprit	Nc	esprit
,	Fw	,
dont	Pr	dont
il	Pp	il
fut	Vuc	être
tant	Rg	tant
vanté	Ge	vanter
,	Fw	,
Pour	Nc	pour
l'	Pp	il
avoir	Vun	avoir
conseillé	Ge	conseiller
,	Fw	,
lui	Pp	il
coûta	Vvc	coûter
la	Da	le
clarté	Nc	clarté
.	Fs	.
Le	Da	le
ciel	Nc	ciel
,	Fw	,
comme	Cs	comme
il	Pp	il
lui	Pp	il
plaît	Vvc	plaire
,	Fw	,
nous	Pp	nous
parle	Vvc	parler
sans	S	sans
obstacle	Nc	obstacle
;	Fw	;
S'	Vvc	s'
il	Pp	il
veut	Vvc	vouloir
,	Fw	,
la	Da	le
voix	Nc	voix
d'	S	de
un	Dn	un
songe	Nc	songe
est	Vuc	être
celle	Pd	celui
d'	S	de
un	Dn	un
oracle	Nc	oracle
;	Fw	;
Et	Vvc	et
les	Da	le
songes	Nc	songe
,	Fw	,
sur	S	sur
tout	Pi	tout
,	Fw	,
tant	Rg	tant
de	S	de
fois	Nc	fois
répétés	Ge	répéter
,	Fw	,
Ou	Vvc	ou
toujours	Rg	toujours
,	Fw	,
ou	Cc	ou
souvent	Rg	souvent
,	Fw	,
disent	Vvc	dire
des	Dn	un
vérités	Nc	vérité
Déjà	Vvc	déjà
cinq	Nc	cinq
ou	Cc	ou
six	Nc	six
nuits	Nc	nuit
,	Fw	,
à	S	à
ma	Ds	mon
triste	Ag	triste
pensée	Nc	pensée
,	Fw	,
Ont	Vvc	ont
de	S	de
ce	Dd	ce
vil	Ag	vil
hymen	Nc	hymen
la	Da	le
vision	Nc	vision
tracée	Ge	tracer
,	Fw	,
M'	Vvc	m'
ont	Vuc	avoir
fait	Ge	faire
voir	Vvn	voir
un	Dn	un
berger	Nc	berger
,	Fw	,
avoir	Vun	avoir
assez	Rg	assez
d'	S	de
orgueil	Nc	orgueil
,	Fw	,
Pour	Nc	pour
prétendre	Vvn	prétendre
à	S	à
mon	Ds	mon
lit	Nc	lit
,	Fw	,
qui	Pr	qui
serait	Vuc	être
mon	Ds	mon
cercueil	Nc	cercueil
;	Fw	;
Et	Vvc	et
l'	Da	le
Empereur	Nc	empereur
mon	Ds	mon
père	Nc	père
,	Fw	,
avec	S	avec
violence	Nc	violence
,	Fw	,
De	Vvc	de
ce	Dd	ce
présomptueux	Nc	présomptueux
appuyer	Vvn	appuyer
l'	Da	le
insolence	Nc	insolence
;	Fw	;
Je	Vvc	je
puis	Vvc	pouvoir
,	Fw	,
s'	Cs	si
il	Pp	il
m'	Pp	je
est	Vuc	être
permis	Ge	permettre
,	Fw	,
et	Cc	et
si	Cs	si
la	Da	le
vérité	Nc	vérité
Dispense	Vvc	dispenser
les	Da	le
enfants	Nc	enfant
à	S	à
quelque	Di	quelque
liberté	Nc	liberté
,	Fw	,
De	Vvc	de
la	Da	le
mauvaise	Ag	mauvais
humeur	Nc	humeur
,	Fw	,
craindre	Vvn	craindre
un	Dn	un
mauvais	Ag	mauvais
office	Nc	office
;	Fw	;
Je	Vvc	je
connais	Vvc	connaître
son	Ds	son
amour	Nc	amour
,	Fw	,
mais	Cc	mais
je	Pp	je
crains	Vvc	craindre
son	Ds	son
caprice	Nc	caprice
;	Fw	;
Et	Vvc	et
vois	Vvc	voir
qu'	Cs	que
en	S	en
tout	Di	tout
rencontre	Nc	rencontre
il	Pp	il
suit	Vvc	suivre
aveuglément	Rg	aveuglément
La	Vvc	la
bouillante	Ag	bouillant
chaleur	Nc	chaleur
d'	S	de
un	Dn	un
premier	Ag	premier
mouvement	Nc	mouvement
;	Fw	;
Sut-il	Vvc	sut-il
considérer	Vvn	considérer
,	Fw	,
pour	S	pour
son	Ds	son
propre	Ag	propre
hyménée	Nc	hyménée
,	Fw	,
Sous	Vvc	sous
quel	Dt	quel
joug	Nc	joug
il	Pp	il
baissait	Vvc	baisser
sa	Ds	son
tête	Nc	tête
couronnée	Ge	couronner
,	Fw	,
Quand	Ag	quand
Empereur	Nc	empereur
il	Pp	il
fit	Vvc	faire
sa	Ds	son
couche	Nc	couche
et	Cc	et
son	Ds	son
État	Nc	état
Le	Vvc	le
prix	Nc	prix
de	S	de
quelques	Di	quelque
pains	Nc	pain
,	Fw	,
qu'	Cs	que
il	Pp	il
emprunta	Vvc	emprunter
soldat	Nc	soldat
,	Fw	,
Et	Vvc	et
par	S	par
une	Dn	un
faiblesse	Nc	faiblesse
,	Fw	,
à	S	à
nulle	Di	nul
autre	Ag	autre
seconde	Vvc	seconder
