Rosandre	Nc	rosandre
,	Fw	,
Luciane	Nc	luciane
,	Fw	,
Oronte	Vvc	oronte
,	Fw	,
Almedor	Nc	almedor
,	Fw	,
Philante	Ga	philante
,	Fw	,
Bélise	Vvc	bélise
,	Fw	,
Clorian	Vvc	clorian
,	Fw	,
Doriste	Nc	doriste
.	Fs	.
Ha	Rg	ha
!	Fs	!
Ne	Rp	ne
contestez	Vvc	contester
plus	Rg	plus
;	Fw	;
laissez	Vvc	laisser
vous	Pp	vous
enflammer	Vvn	enflammer
;	Fw	;
Et	Vvc	et
sachez	Vvc	savoir
obéir	Vvn	obéir
,	Fw	,
si	Cs	si
vous	Pp	vous
savez	Vvc	savoir
aimer	Vvn	aimer
.	Fs	.
Et	Cc	et
quoi	Pt	quoi
,	Fw	,
vous	Pp	vous
lassez	Vvc	lasser
-vous	Nc	-vous
de	S	de
souffrir	Vvn	souffrir
mes	Ds	mon
services	Nc	service
?	Fs	?
Craignez	Vvc	craindre
-vous	Nc	-vous
que	Cs	que
mon	Ds	mon
coeur	Nc	cœur
ne	Rp	ne
s'	Pp	se
abandonne	Vvc	abandonner
aux	S+Da	à+les
vices	Nc	vice
?	Fs	?
Croyez	Vvc	croire
-vous	Nc	-vous
qu'	Cs	que
un	Dn	un
esprit	Nc	esprit
que	Pr	que
vous	Pp	vous
avez	Vuc	avoir
formé	Ge	former
,	Fw	,
Puisse	Vvc	pouvoir
rien	Pi	rien
concevoir	Vvn	concevoir
qui	Pr	qui
doive	Vvc	devoir
être	Vun	être
blâmé	Ge	blâmer
?	Fs	?
Suis	Vuc	être
-je	Ge	-je
un	Dn	un
fardeau	Nc	fardeau
pesant	Ga	peser
,	Fw	,
à	S	à
vos	Ds	votre
faibles	Ag	faible
années	Nc	année
?	Fs	?
Les	Da	le
larmes	Nc	larme
que	Pr	que
j'	Pp	je
épands	Vvc	épandre
,	Fw	,
sont	Vuc	être
-elles	Ag	-elles
condamnées	Nc	condamné
?	Fs	?
Et	Cc	et
devenant	Ga	devenir
cruel	Ag	cruel
par	S	par
excès	Nc	excès
d'	S	de
amitié	Nc	amitié
,	Fw	,
Me	Vvc	me
ferez	Vvc	faire|ferrer
vous	Pp	vous
un	Dn	un
mal	Nc	mal
,	Fw	,
dont	Pr	dont
vous	Pp	vous
avez	Vuc	avoir
pitié	Nc	pitié
?	Fs	?
Faites	Vvc	faire
que	Cs	que
ce	Dd	ce
torrent	Nc	torrent
ait	Vuc	avoir
la	Da	le
course	Nc	course
plus	Rg	plus
lente	Ag	lent
;	Fw	;
N'	Vvc	n'
aimez	Vvc	aimer
point	Rg	point
sans	S	sans
connaître	Vvn	connaître
,	Fw	,
au	S+Da	à+le
moins	Nc	moins
voyez	Vvc	voir
Philante	Ag	philante
;	Fw	;
Peut-être	Vvc	peut-être
les	Da	le
portraits	Nc	portrait
qu'	Pr	que
on	Pp	on
vous	Pp	vous
en	Pp	en
a	Vuc	avoir
tracé	Ge	tracer
,	Fw	,
Flattent	Vvc	flatter
l'	Da	le
original	Nc	original
dont	Pr	dont
vous	Pp	vous
me	Pp	je
menacez	Vvc	menacer
.	Fs	.
Qui	Pt	qui
sait	Vvc	savoir
si	Cs	si
son	Ds	son
humeur	Nc	humeur
pourra	Vvc	pouvoir
plaire	Vvn	plaire
à	S	à
la	Da	le
vôtre	As#Ps	vôtre
?	Fs	?
Nous	Pp	nous
ne	Rp	ne
devons	Vvc	devoir
jamais	Rg	jamais
voir	Vvn	voir
par	S	par
les	Da	le
yeux	Nc	œil
d'	S	de
un	Dn	un
autre	Pi	autre
;	Fw	;
Monsieur	Nc	monsieur
,	Fw	,
étant	Ga	être
bon	Ag	bon
père	Nc	père
,	Fw	,
il	Pp	il
faut	Vvc	faillir|falloir
me	Pp	je
le	Pp	il
prouver	Vvn	prouver
;	Fw	;
Il	Vvc	il
s'	Pp	se
agit	Vvc	agir
de	S	de
me	Pp	je
perdre	Vvn	perdre
,	Fw	,
ou	Cc	ou
de	S	de
me	Pp	je
conserver	Vvn	conserver
.	Fs	.
Votre	Ds	votre
bonté	Nc	bonté
paraît	Vvc	paraître
dedans	Rg	dedans
cette	Dd	ce
aventure	Nc	aventure
;	Fw	;
Et	Vvc	et
nous	Pp	nous
suivons	Vvc	suivre
tous	Di	tout
deux	Nc	deux
la	Pp	il
Loi	Vvc	loi
de	S	de
la	Da	le
Nature	Nc	nature
:	Fw	:
Vous	Pp	vous
m'	Pp	je
aimez	Vvc	aimer
,	Fw	,
je	Pp	je
vous	Pp	vous
aime	Vvc	aimer
;	Fw	;
et	Cc	et
joints	Ge	joindre
par	S	par
ce	Dd	ce
lien	Nc	lien
,	Fw	,
Vous	Nc	vous
cherchez	Vvc	chercher
mon	Ds	mon
repos	Nc	repos
,	Fw	,
je	Pp	je
cherche	Vvc	chercher
votre	Ds	votre
bien	Nc	bien
,	Fw	,
Mais	Vvc	mais
ma	Ds	mon
fille	Nc	fille
,	Fw	,
sachez	Vvc	savoir
que	Cs	que
je	Pp	je
serais	Vuc	être
barbare	Ag	barbare
,	Fw	,
Si	Vvc	si
j'	Pp	je
osais	Vvc	oser
abuser	Vvn	abuser
d'	S	de
une	Dn	un
amitié	Nc	amitié
si	Rg	si
rare	Ag	rare
;	Fw	;
Et	Vvc	et
si	Rg	si
loin	Rg	loin
de	S	de
rester	Vvn	rester
aux	S+Da	à+les
termes	Nc	terme
du	S+Da	de+le
devoir	Nc	devoir
,	Fw	,
Je	Vvc	je
bornais	Vvc	borner
votre	Ds	votre
joie	Nc	joie
à	S	à
celle	Pd	celui
de	S	de
me	Pp	je
voir	Vvn	voir
.	Fs	.
Non	Rg	non
,	Fw	,
non	Rg	non
,	Fw	,
résolvez	Vvc	résoudre
vous	Pp	vous
de	S	de
finir	Vvn	finir
mon	Ds	mon
attente	Nc	attente
;	Fw	;
Je	Vvc	je
serai	Vuc	être
trop	Rg	trop
content	Ag	content
,	Fw	,
si	Cs	si
vous	Pp	vous
êtes	Vuc	être
contente	Ag	content
;	Fw	;
Et	Vvc	et
pourvu	Ge	pourvoir
que	Cs	que
le	Da	le
Ciel	Nc	ciel
conserve	Vvc	conserver
vos	Ds	votre
plaisirs	Nc	plaisir
,	Fw	,
Je	Vvc	je
mourrai	Vvc	mourir
sans	S	sans
douleur	Nc	douleur
,	Fw	,
et	Cc	et
vivrai	Vvc	vivre
sans	S	sans
désirs	Nc	désir
.	Fs	.
La	Da	le
raison	Nc	raison
nous	Pp	nous
attaque	Vvc	attaquer
,	Fw	,
et	Cc	et
nous	Pp	nous
devons	Vvc	devoir
nous	Pp	nous
rendre	Vvn	rendre
;	Fw	;
Je	Vvc	je
vous	Pp	vous
dois	Vvc	devoir
un	Dn	un
mari	Nc	mari
,	Fw	,
vous	Pp	vous
me	Pp	je
devez	Vvc	devoir
un	Dn	un
gendre	Nc	gendre
,	Fw	,
Et	Vvc	et
bien	Rg	bien
que	Cs	que
l'	Da	le
amitié	Nc	amitié
tâche	Vvc	tâcher
de	S	de
nous	Pp	nous
trahir	Vvn	trahir
,	Fw	,
Je	Vvc	je
vous	Pp	vous
dois	Vvc	devoir
commander	Vvn	commander
,	Fw	,
vous	Pp	vous
devez	Vvc	devoir
m'	Pp	je
obéir	Vvn	obéir
.	Fs	.
Mais	Cc	mais
dedans	Rg	dedans
cet	Dd	ce
état	Nc	état
,	Fw	,
plein	Ag	plein
d'	S	de
heur	Nc	heur
et	Cc	et
d'	S	de
innocence	Nc	innocence
,	Fw	,
Nous	Vvc	nous
ne	Rp	ne
souffrirons	Vvc	souffrir
point	Rg	point
de	S	de
la	Da	le
rigueur	Nc	rigueur
d'	S	de
une	Dn	un
absence	Nc	absence
;	Fw	;
Le	Vvc	le
père	Nc	père
de	S	de
Philante	Ga	philante
étant	Ga	être
bien	Rg	bien
résolu	Ge	résoudre
,	Fw	,
De	Vvc	de
demeurer	Vvn	demeurer
ici	Rg	ici
,	Fw	,
comme	Cs	comme
je	Pp	je
l'	Pp	il
ai	Vuc	avoir
voulu	Ge	vouloir
;	Fw	;
Sa	Vvc	sa
volonté	Nc	volonté
sans	S	sans
fard	Nc	fard
s'	Pp	se
est	Vuc	être
peinte	Ge	peindre
en	S	en
son	Ds	son
langage	Nc	langage
;	Fw	;
Il	Vvc	il
mourra	Vvc	mourir
dans	S	dans
Paris	Nc	pari
,	Fw	,
j'	Pp	je
en	Pp	en
ai	Vuc	avoir
sa	Ds	son
foi	Nc	foi
pour	S	pour
gage	Nc	gage
.	Fs	.
Mais	Cc	mais
après	S	après
tout	Pi	tout
,	Fw	,
Monsieur	Nc	monsieur
,	Fw	,
son	Ds	son
fils	Nc	fil|fils
m'	Pp	je
est	Vuc	être
inconnu	Ag	inconnu
:	Fw	:
Ne	Rp	ne
le	Pp	il
condamnez	Vvc	condamner
pas	Rg	pas
avant	S	avant
qu'	Cs	que
il	Pp	il
soit	Vuc	être
venu	Ge	venir
;	Fw	;
Les	Vvc	les
bonnes	Ag	bon
qualités	Nc	qualité
que	Pr	que
je	Pp	je
remarque	Vvc	remarquer
au	S+Da	à+le
père	Nc	père
,	Fw	,
Nous	Vvc	nous
le	Pp	il
feront	Vvc	faire
voit	Vvc	voir
tel	Di	tel
que	Pr	que
mon	Ds	mon
esprit	Nc	esprit
l'	Pp	il
espère	Vvc	espérer
.	Fs	.
Ces	Dd	ce
discours	Nc	discours
par	S	par
l'	Da	le
effet	Nc	effet
,	Fw	,
souvent	Rg	souvent
sont	Vuc	être
combattus	Ge	combattre
;	Fw	;
Je	Vvc	je
suis	Vuc	être
bien	Rg	bien
votre	Ds	votre
fille	Nc	fille
,	Fw	,
et	Cc	et
n'	Rp	ne
ai	Vuc	avoir
pas	Rg	pas
vos	Ds	votre
vertus	Nc	vertu
.	Fs	.
Toujours	Rg	toujours
l'	Da	le
humilité	Nc	humilité
suit	Vvc	suivre
les	Da	le
filles	Nc	fille
bien	Rg	bien
nées	Ge	naître
;	Fw	;
Mais	Vvc	mais
si	Cs	si
j'	Pp	je
eus	Vuc	avoir
des	Dn	un
vertus	Nc	vertu
,	Fw	,
je	Pp	je
vous	Pp	vous
les	Pp	ils
ai	Vuc	avoir
données	Ge	donner
.	Fs	.
Ici	Rg	ici
l'	Da	le
obéissance	Nc	obéissance
excède	Vvc	excéder
mon	Ds	mon
pouvoir	Nc	pouvoir
;	Fw	;
Le	Vvc	le
croyez	Vvc	croire
vous	Pp	vous
un	Dn	un
Dieu	Nc	dieu
,	Fw	,
pour	S	pour
l'	Pp	il
aimer	Vvn	aimer
sans	S	sans
le	Pp	il
voir	Vvn	voir
?	Fs	?
Finissez	Vvc	finir
un	Dn	un
propos	Nc	propos
