,idno,author-country,author-name,author-gender,title,year,supergenre,genre,availability,form,decade,words
it0001,it0001,Italy,Albertazzi,male,Figurine,1918,narrative,short story,free,prose,1910,2289
it0002,it0002,Italy,Albertazzi,male,Camiciotto,1918,narrative,short story,free,prose,1910,2056
it0003,it0003,Italy,Albertazzi,male,Cassaforte,1918,narrative,short story,free,prose,1910,2567
it0004,it0004,Italy,Albertazzi,male,Forfecchia,1918,narrative,short story,free,prose,1910,2133
it0005,it0005,Italy,Albertazzi,male,Ciocchettina,1918,narrative,short story,free,prose,1910,3159
it0006,it0006,Italy,Albertazzi,male,Nido,1918,narrative,short story,free,prose,1910,878
it0007,it0007,Italy,Albertazzi,male,Ferdina,1918,narrative,short story,free,prose,1910,4482
it0008,it0008,Italy,Albertazzi,male,Chiodo,1918,narrative,short story,free,prose,1910,4706
it0009,it0009,Italy,Albertazzi,male,Cinquantamila,1918,narrative,short story,free,prose,1910,2709
it0010,it0010,Italy,Albertazzi,male,Stella,1918,narrative,short story,free,prose,1910,2714
it0011,it0011,Italy,Albertazzi,male,Asino,1918,narrative,short story,free,prose,1910,2104
it0012,it0012,Italy,Albertazzi,male,Diavolo,1918,narrative,short story,free,prose,1910,2875
it0013,it0013,Italy,Albertazzi,male,Bonarca,1914,narrative,short story,free,prose,1910,3506
it0014,it0014,Italy,Albertazzi,male,Giocatrice,1914,narrative,short story,free,prose,1910,3735
it0015,it0015,Italy,Albertazzi,male,Nuziali,1914,narrative,short story,free,prose,1910,3796
it0016,it0016,Italy,Albertazzi,male,Eldorado,1914,narrative,short story,free,prose,1910,8115
it0017,it0017,Italy,Albertazzi,male,Cappello,1914,narrative,short story,free,prose,1910,3502
it0018,it0018,Italy,Albertazzi,male,Giarrettiera,1914,narrative,short story,free,prose,1910,1670
it0019,it0019,Italy,Albertazzi,male,Fortuna,1914,narrative,short story,free,prose,1910,12177
it0020,it0020,Italy,Albertazzi,male,Scampanata,1914,narrative,short story,free,prose,1910,2662
it0021,it0021,Italy,Albertazzi,male,Polso,1914,narrative,short story,free,prose,1910,2466
it0022,it0022,Italy,Albertazzi,male,Modestia,1914,narrative,short story,free,prose,1910,2512
it0023,it0023,Italy,Albertazzi,male,Entusiasta,1914,narrative,short story,free,prose,1910,1373
it0024,it0024,Italy,Albertazzi,male,Agnello,1914,narrative,short story,free,prose,1910,1664
it0025,it0025,Italy,Albertazzi,male,Falcone,1914,narrative,short story,free,prose,1910,2371
it0026,it0026,Italy,Albertazzi,male,Arcadia,1914,narrative,short story,free,prose,1910,8989
it0027,it0027,Italy,Albertazzi,male,Liberalita,1892,narrative,short story,free,prose,1890,1764
it0028,it0028,Italy,Albertazzi,male,Gallina,1892,narrative,short story,free,prose,1890,5292
it0029,it0029,Italy,Albertazzi,male,Gregorio,1892,narrative,short story,free,prose,1890,7849
it0030,it0030,Italy,Albertazzi,male,Punizione,1892,narrative,short story,free,prose,1890,1339
it0127,it0127,Italy,Capuana,male,Jela,1921,narrative,short story,free,prose,1920,8085
it0128,it0128,Italy,Capuana,male,Orrori,1921,narrative,short story,free,prose,1920,6345
it0129,it0129,Italy,Capuana,male,Sogno,1921,narrative,short story,free,prose,1920,2717
it0130,it0130,Italy,Capuana,male,Bruttina,1921,narrative,short story,free,prose,1920,2681
it0131,it0131,Italy,Capuana,male,Marito,1921,narrative,short story,free,prose,1920,2931
it0132,it0132,Italy,Capuana,male,SuoAmore,1921,narrative,short story,free,prose,1920,6282
it0133,it0133,Italy,Capuana,male,CiSiamo,1921,narrative,short story,free,prose,1920,2567
