,idno,author-country,author-name,author-gender,title,year,supergenre,genre,availability,form,decade,words
it0134,it0134,Italy,Capuana,male,LUomo,1921,narrative,short story,free,prose,1920,2572
it0135,it0135,Italy,Capuana,male,Pensione,1921,narrative,short story,free,prose,1920,2718
it0136,it0136,Italy,Capuana,male,Bivio,1921,narrative,short story,free,prose,1920,3201
it0137,it0137,Italy,Capuana,male,Ostacolo,1921,narrative,short story,free,prose,1920,3429
it0138,it0138,Italy,Capuana,male,Ciccio,1921,narrative,short story,free,prose,1920,3104
it0139,it0139,Italy,Capuana,male,Pasqua,1913,narrative,short story,free,prose,1910,4944
it0140,it0140,Italy,Capuana,male,Dora,1913,narrative,short story,free,prose,1910,3618
it0141,it0141,Italy,Capuana,male,Sanguedolce,1913,narrative,short story,free,prose,1910,2206
it0142,it0142,Italy,Capuana,male,Rinnovamento,1913,narrative,short story,free,prose,1910,2779
it0143,it0143,Italy,Capuana,male,Mignatta,1913,narrative,short story,free,prose,1910,2799
it0144,it0144,Italy,Capuana,male,Santuario,1913,narrative,short story,free,prose,1910,2355
it0145,it0145,Italy,Capuana,male,Bicci,1913,narrative,short story,free,prose,1910,2625
it0146,it0146,Italy,Capuana,male,Inconsolabile,1913,narrative,short story,free,prose,1910,2537
it0147,it0147,Italy,Capuana,male,Lusinga,1913,narrative,short story,free,prose,1910,3755
it0148,it0148,Italy,Capuana,male,Ideale,1913,narrative,short story,free,prose,1910,2868
it0149,it0149,Italy,Capuana,male,Sogno,1913,narrative,short story,free,prose,1910,2381
it0150,it0150,Italy,Capuana,male,Arme,1913,narrative,short story,free,prose,1910,2622
it0151,it0151,Italy,Capuana,male,Tragedia,1913,narrative,short story,free,prose,1910,2222
it0152,it0152,Italy,Capuana,male,Ramaglia,1913,narrative,short story,free,prose,1910,3028
it0153,it0153,Italy,Capuana,male,Selvaggio,1913,narrative,short story,free,prose,1910,3485
it0154,it0154,Italy,Capuana,male,Fausto,1897,narrative,short story,free,prose,1890,9228
it0155,it0155,Italy,Capuana,male,Carattere,1897,narrative,short story,free,prose,1890,2191
it0156,it0156,Italy,Capuana,male,Confessione,1897,narrative,short story,free,prose,1890,5035
it0274,it0274,Italy,DeRoberto,male,Documenti,1888,narrative,short story,free,prose,1880,2568
it0275,it0275,Italy,DeRoberto,male,Passato,1888,narrative,short story,free,prose,1880,10344
it0276,it0276,Italy,DeRoberto,male,Dichiarazione,1888,narrative,short story,free,prose,1880,2790
it0277,it0277,Italy,DeRoberto,male,Memoriale,1888,narrative,short story,free,prose,1880,4683
it0278,it0278,Italy,DeRoberto,male,Albani,1888,narrative,short story,free,prose,1880,3457
it0279,it0279,Italy,DeRoberto,male,Studio,1888,narrative,short story,free,prose,1880,4010
it0280,it0280,Italy,DeRoberto,male,Sacramento,1888,narrative,short story,free,prose,1880,2897
it0281,it0281,Italy,DeRoberto,male,Caso,1888,narrative,short story,free,prose,1880,3005
it0282,it0282,Italy,DeRoberto,male,Donato,1888,narrative,short story,free,prose,1880,3967
it0283,it0283,Italy,DeRoberto,male,Morta,1888,narrative,short story,free,prose,1880,3320
it0284,it0284,Italy,DeRoberto,male,DueFaccie,1888,narrative,short story,free,prose,1880,4031
it0285,it0285,Italy,DeRoberto,male,Voce,1888,narrative,short story,free,prose,1880,2732
it0286,it0286,Italy,DeRoberto,male,Epilogo,1888,narrative,short story,free,prose,1880,2518
it0287,it0287,Italy,DeRoberto,male,Orgoglio,1888,narrative,short story,free,prose,1880,2685
it0288,it0288,Italy,DeRoberto,male,Comunione,1898,narrative,short story,free,prose,1890,2995
it0289,it0289,Italy,DeRoberto,male,Domanda,1898,narrative,short story,free,prose,1890,2399
it0290,it0290,Italy,DeRoberto,male,Omonimo,1898,narrative,short story,free,prose,1890,1619
it0291,it0291,Italy,DeRoberto,male,Veglia,1898,narrative,short story,free,prose,1890,2132
it0292,it0292,Italy,DeRoberto,male,Sospetto,1898,narrative,short story,free,prose,1890,2471
it0293,it0293,Italy,DeRoberto,male,Certezza,1898,narrative,short story,free,prose,1890,2405
it0294,it0294,Italy,DeRoberto,male,Intenzione,1898,narrative,short story,free,prose,1890,2699
it0295,it0295,Italy,DeRoberto,male,Indovinello,1898,narrative,short story,free,prose,1890,1948
it0296,it0296,Italy,DeRoberto,male,Fino,1898,narrative,short story,free,prose,1890,1921
it0297,it0297,Italy,DeRoberto,male,Omissioni,1898,narrative,short story,free,prose,1890,1954
it0298,it0298,Italy,DeRoberto,male,DonGiovanni,1898,narrative,short story,free,prose,1890,2342
it0299,it0299,Italy,DeRoberto,male,Giglio,1898,narrative,short story,free,prose,1890,2766
it0300,it0300,Italy,DeRoberto,male,Siracusa,1898,narrative,short story,free,prose,1890,3067
it0301,it0301,Italy,DeRoberto,male,Estro,1898,narrative,short story,free,prose,1890,2426
it0302,it0302,Italy,DeRoberto,male,Anacronismo,1898,narrative,short story,free,prose,1890,1890
it0303,it0303,Italy,DeRoberto,male,Rapporto,1898,narrative,short story,free,prose,1890,1722
