,idno,author-name,author-gender,title,year,supergenre,genre,subgenre,availability,textsize-words,decade
rd0006,rd0006,Aurevilly,male,HistoireSansNom,1882,narrative,novel,fantastic,publicdomain,40245,1880s
rd0014,rd0014,Verne,male,HectorServadac,1877,narrative,novel,fantastic,publicdomain,125743,1870s
rd0020,rd0020,Daudet,male,PetitChose,1867,narrative,novel,education,publicdomain,87600,1860s
rd0041,rd0041,Flaubert,male,EducationSentimentale,1869,narrative,novel,education,publicdomain,149766,1860s
rd0056,rd0056,Maupassant,male,UneVie,1883,narrative,novel,education,publicdomain,77324,1880s
rd0083,rd0083,Verne,male,AventureTroisRusses,1872,narrative,novel,adventure,publicdomain,70082,1870s
rd0086,rd0086,Verne,male,VoyagesHatteras,1866,narrative,novel,adventure,publicdomain,143824,1860s
rd0087,rd0087,Verne,male,CapitaineQuinzeAns,1878,narrative,novel,education,publicdomain,124561,1870s
rd0098,rd0098,Zola,male,JoieVivre,1884,narrative,novel,education,publicdomain,126621,1880s
rd0104,rd0104,Zola,male,AbbeMouret,1875,narrative,novel,education,publicdomain,123980,1870s
rd0106,rd0106,Boisgobey,male,BandeRouge,1886,narrative,novel,adventure,publicdomain,237095,1880s
rd0149,rd0149,Verne,male,DeuxAnsVacances,1888,narrative,novel,adventure,publicdomain,124940,1880s
rd0169,rd0169,Verne,male,IleMysterieuse,1875,narrative,novel,fantastic,publicdomain,209849,1870s
rd0301,rd0301,Aimard,male,BanditsArizona,1881,narrative,novel,adventure,publicdomain,71857,1880s
rd0306,rd0306,Aimard,male,BohemesMer,1865,narrative,novel,adventure,publicdomain,60045,1860s
rd0308,rd0308,Aimard,male,ChasseurRats,1877,narrative,novel,adventure,publicdomain,168477,1870s
rd0311,rd0311,Aimard,male,BelleRiviere,1874,narrative,novel,adventure,publicdomain,139068,1870s
rd0410,rd0410,Malot,male,SansFamille,1878,narrative,novel,education,publicdomain,123559,1870s
rd0411,rd0411,Malot,male,Ghislaine,1887,narrative,novel,education,publicdomain,94405,1880s
rd0605,rd0605,FevalPP,male,CavalierFortune,1868,narrative,novel,adventure,publicdomain,136396,1860s
rd0613,rd0613,FevalPP,male,HistoireRevenants,1881,narrative,novel,fantastic,publicdomain,48437,1880s
rd0614,rd0614,FevalPP,male,HommeSansBras,1881,narrative,novel,crime-fiction,publicdomain,48217,1880s
rd0634,rd0634,FevalPP,male,JeanDiable,1862,narrative,novel,crime-fiction,publicdomain,284488,1860s
rd0635,rd0635,FevalPP,male,CompagnonsTresor,1872,narrative,novel,crime-fiction,publicdomain,177773,1870s
rd0721,rd0721,Villiers,male,EveFuture,1886,narrative,novel,fantastic,publicdomain,90722,1880s
rd0730,rd0730,About,male,OreilleCassee,1862,narrative,novel,fantastic,publicdomain,59458,1860s
rd0732,rd0732,FevalPP,male,Vampire,1865,narrative,novel,fantastic,publicdomain,93339,1860s
rd0737,rd0737,Aurevilly,male,PretreMarie,1865,narrative,novel,fantastic,publicdomain,140692,1860s
rd1006,rd1006,Boisgobey,male,CrimeOpera,1889,narrative,novel,crime-fiction,publicdomain,255839,1880s
rd1150,rd1150,Gaboriau,male,AmoursEmpoisonneuse,1881,narrative,novel,crime-fiction,publicdomain,60136,1880s
rd1151,rd1151,Gaboriau,male,CordeCou,1873,narrative,novel,crime-fiction,publicdomain,172562,1870s
rd1155,rd1155,Gaboriau,male,CrimeOrcival,1866,narrative,novel,crime-fiction,publicdomain,127298,1860s
rd1163,rd1163,Ponson,male,CordePendu,1870,narrative,novel,crime-fiction,publicdomain,124474,1870s
rd1168,rd1168,Ponson,male,RocambolePrison,1869,narrative,novel,crime-fiction,publicdomain,120069,1860s
rd1282,rd1282,Sand,female,Valvedre,1861,narrative,novel,education,publicdomain,95429,1860s
