,rd0086,rd1150,rd1155,rd0301,rd0734,rd0605,rd0732,rd0635,rd0613,rd0737,rd0721,rd0006,rd0411,rd0020,rd0614,rd0098,rd0106,rd0149,rd1163,rd0083,rd1006,rd0014,rd0410,rd0056,rd0169,rd0730,rd0041,rd0634,rd0306,rd0311,rd0104,rd1151,rd0087,rd1282,rd0308,rd1168,sum,comment
teuse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,0,0,0,0,0,165,NamedEntity
feuillans,0,0,0,0,0,0,0,0,22,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,NamedEntity
fénians,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,100,NamedEntity
handé,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,53,NamedEntity
corbac,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,Interjection
poëte,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,29,0,0,37,fixed
détectif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,23,PseudoForeign
etait,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,21,fixed
poëtes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,12,0,0,20,fixed
dussé,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,2,1,1,0,1,0,0,5,0,19,correct
deception,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,NamedEntity
complétement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,15,0,0,0,0,0,2,0,0,18,fixed
levis,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,11,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,18,correct(pont-levis)
